ullid;date;time;LocalTime[us];EngineCycleId#;PrintCycleId#;ActionId$;Result$;PrintMode$;Images~;SquareDecimeter[dm2]#
00000000004404769386;2021-02-08;08:38:08;3152023388;1018;1;origin=/ACM, seqNr={1018};Success;8_pass_pinCure;1,2,3,;1156
00000000004428278966;2021-02-08;13:57:50;22332800171;1024;2;origin=/ACM, seqNr={1024};Success;8_pass;1,;8348
00000000004428313752;2021-02-08;14:02:03;22586252774;1025;3;origin=/ACM, seqNr={1025};Failed;8_pass;1,;0
00000000004448717481;2021-02-08;18:08:48;37390671083;1026;4;origin=/ACM, seqNr={1026};Success;8_pass;1,;7768
00000000004470842684;2021-02-09;03:00:01;69262440844;1027;5;origin=/ACM, seqNr={1027};Success;8_pass;1,;7250
00000000004482832102;2021-02-09;05:24:44;77946030902;1028;6;origin=/ACM, seqNr={1028};Success;8_pass;1,;4373
00000000004492381453;2021-02-09;07:03:34;83875519333;1029;7;origin=/ACM, seqNr={1029};Success;8_pass_pinCure;1,;2546
00000000004497073200;2021-02-09;07:51:36;86757944469;1030;8;origin=/ACM, seqNr={1030};Success;8_pass_pinCure;1,2,;1262
00000000004499039415;2021-02-09;08:39:14;89615793382;1031;9;origin=/ACM, seqNr={1031};Success;8_pass;1,;674
00000000004506811821;2021-02-09;10:38:36;96777393653;1032;10;origin=/ACM, seqNr={1032};Success;8_pass;1,;2844
00000000004507317164;2021-02-09;11:20:56;99317286711;1033;11;origin=/ACM, seqNr={1033};Success;8_pass;1,;94
00000000004508063756;2021-02-09;12:19:52;102853132465;1034;12;origin=/ACM, seqNr={1034};Success;8_pass;1,;173
00000000004530376514;2021-02-09;17:24:44;121144319786;1035;13;origin=/ACM, seqNr={1035};Success;8_pass;1,;7937
00000000004547604667;2021-02-10;02:28:07;153746787404;1036;14;origin=/ACM, seqNr={1036};Success;8_pass;1,;5801
00000000004547885591;2021-02-10;02:34:23;154122647976;1037;15;origin=/ACM, seqNr={1037};Success;8_pass;1,;76
00000000004558737097;2021-02-10;04:26:25;160844616514;1038;16;origin=/ACM, seqNr={1038};Success;8_pass_pinCure;1,2,;2857
00000000004581795691;2021-02-10;09:08:01;177740343530;1039;17;origin=/ACM, seqNr={1039};Success;8_pass;1,;8307
00000000004582072705;2021-02-10;09:12:55;178034287935;1040;18;origin=/ACM, seqNr={1040};Success;8_pass;1,;76
00000000004590513938;2021-02-10;10:45:32;183591515810;1041;19;origin=/ACM, seqNr={1041};Success;8_pass_pinCure;1,;2026
00000000004595409034;2021-02-10;11:50:27;187485956533;1042;20;origin=/ACM, seqNr={1042};Success;8_pass;1,2,;1813
00000000004616201559;2021-02-10;16:02:34;202613001637;1043;21;origin=/ACM, seqNr={1043};Success;8_pass;1,;7725
00000000004622066478;2021-02-10;23:23:17;229054989353;1044;22;origin=/ACM, seqNr={1044};Success;8_pass;1,;1696
00000000004622465949;2021-02-10;23:36:25;229843143369;1045;23;origin=/ACM, seqNr={1045};Success;8_pass;1,;108
00000000004622898675;2021-02-10;23:50:46;230703808576;1046;24;origin=/ACM, seqNr={1046};Success;8_pass;1,;121
00000000004623955165;2021-02-11;00:06:42;231660067090;1047;25;origin=/ACM, seqNr={1047};Success;8_pass_pinCure;1,;204
00000000004636634163;2021-02-11;03:36:05;244222816648;1053;26;origin=/ACM, seqNr={1053};Success;8_pass_pinCure;1,2,;2601
00000000004638631199;2021-02-11;11:53:41;274078101495;1054;27;origin=/ACM, seqNr={1054};Cancelled;8_pass_pinCure;1,;71
00000000004639049815;2021-02-11;12:01:43;274559592062;1055;29;origin=/ACM, seqNr={1055};Success;8_pass_pinCure;1,;71
00000000004639535989;2021-02-11;12:20:49;275705533585;1056;30;origin=/ACM, seqNr={1056};Success;8_pass;1,;130
00000000004653669468;2021-02-12;04:47:01;334875872518;1057;31;origin=/ACM, seqNr={1057};Success;8_pass_pinCure;1,;2609
00000000004655392881;2021-02-12;09:43:02;352636957991;1058;32;origin=/ACM, seqNr={1058};Cancelled;8_pass_pinCure;1,;155
00000000004657911708;2021-02-12;10:41:23;356137435610;1064;33;origin=/ACM, seqNr={1064};Success;8_pass_pinCure;1,;196
00000000004658459158;2021-02-12;11:07:24;357699087754;1065;34;origin=/ACM, seqNr={1065};Success;8_pass_pinCure;1,;94
00000000004658948310;2021-02-12;11:14:30;358124668167;1066;35;origin=/ACM, seqNr={1066};Success;8_pass_pinCure;1,;102
00000000004660201223;2021-02-12;11:32:55;359229364279;1071;36;origin=/ACM, seqNr={1071};Success;8_pass_pinCure;1,;196
00000000004660569568;2021-02-12;11:43:57;359891218294;1072;37;origin=/ACM, seqNr={1072};Success;8_pass;1,;92
00000000004660926008;2021-02-12;11:54:15;360509405770;1073;38;origin=/ACM, seqNr={1073};Success;8_pass;1,;94
