ullid;date;time;LocalTime[us];EngineCycleId#;PrintCycleId#;ActionId$;Result$;PrintMode$;Images~;SquareDecimeter[dm2]#
00000000013735927103;2021-11-22;09:10:59;1119688248963;3606;-1;origin=/ACM, seqNr={3606};Success;8_pass_pinCure;0,;79
00000000013736487519;2021-11-22;09:18:24;1120133714313;3607;112;origin=/ACM, seqNr={3607};Success;8_pass;1,2,;174
00000000013744100757;2021-11-22;10:47:43;1125492124646;3608;113;origin=/ACM, seqNr={3608};Success;8_pass;1,2,3,;2618
00000000013744655186;2021-11-22;10:55:12;1125941103144;3609;114;origin=/ACM, seqNr={3609};Success;8_pass;1,;173
00000000013744955742;2021-11-22;11:04:15;1126484502130;3610;-42;origin=/ACM, seqNr={3610};Success;_Check_PH_Banding_Tanto.txt;0,;19
