ullid;date;time;LocalTime[us];EngineCycleId#;PrintCycleId#;ActionId$;Result$;PrintMode$;Images~;SquareDecimeter[dm2]#
00000000006256706215;2021-03-16;00:56:45;1609329391329;1298;95;origin=/ACM, seqNr={1298};Success;8_pass;1,2,3,4,;2287
00000000006257524841;2021-03-16;01:18:54;1610658915206;1299;96;origin=/ACM, seqNr={1299};Success;8_pass;1,;248
00000000006260174991;2021-03-16;02:07:32;1613576519262;1300;97;origin=/ACM, seqNr={1300};Cancelled;8_pass_pinCure;1,;644
00000000006270461906;2021-03-16;04:22:03;1621647229621;1306;98;origin=/ACM, seqNr={1306};Success;8_pass_pinCure;1,;2385
00000000006270834790;2021-03-16;04:33:20;1622324640227;1307;99;origin=/ACM, seqNr={1307};Success;8_pass_pinCure;1,;76
00000000006271458306;2021-03-16;05:05:08;1624232102366;1308;100;origin=/ACM, seqNr={1308};Success;8_pass;1,;158
00000000006271843917;2021-03-16;05:43:07;1626511347655;1309;101;origin=/ACM, seqNr={1309};Success;8_pass;1,;61
00000000006273734697;2021-03-16;08:07:06;1635149978941;1310;102;origin=/ACM, seqNr={1310};Success;8_pass;1,;456
00000000006274266297;2021-03-16;08:14:52;1635616341822;1311;103;origin=/ACM, seqNr={1311};Success;8_pass;1,;168
00000000006298990662;2021-03-16;15:49:22;1662885600840;1312;104;origin=/ACM, seqNr={1312};Success;8_pass;1,2,3,;8258
00000000006315272834;2021-03-17;01:25:21;1697443474003;1313;105;origin=/ACM, seqNr={1313};Success;8_pass;1,;5268
00000000006318664855;2021-03-17;02:19:22;1700684643361;1317;106;origin=/ACM, seqNr={1317};Success;8_pass;1,;1186
00000000006324587878;2021-03-17;03:39:10;1705471793743;1318;107;origin=/ACM, seqNr={1318};Success;8_pass;1,;2226
00000000006327380938;2021-03-17;04:24:16;1708178469768;1319;108;origin=/ACM, seqNr={1319};Success;8_pass;1,;1029
00000000006333568836;2021-03-17;05:42:48;1712889629249;1320;109;origin=/ACM, seqNr={1320};Success;8_pass_pinCure;1,;1634
00000000006348587319;2021-03-17;08:55:42;1724463676025;1321;110;origin=/ACM, seqNr={1321};Success;8_pass;1,;5333
00000000006362845094;2021-03-17;13:58:20;1742621143507;1325;111;origin=/ACM, seqNr={1325};Success;8_pass;1,;4538
00000000006381084452;2021-03-18;01:46:23;1785102930218;1326;112;origin=/ACM, seqNr={1326};Success;8_pass;1,2,;5770
00000000006393756636;2021-03-18;04:26:19;1794699367963;1332;113;origin=/ACM, seqNr={1332};Success;8_pass_pinCure;1,;2947
00000000006394148804;2021-03-18;04:31:58;1795037758127;1333;114;origin=/ACM, seqNr={1333};Success;8_pass_pinCure;1,;88
00000000006398647420;2021-03-18;05:30:33;1798552867131;1334;115;origin=/ACM, seqNr={1334};Cancelled;8_pass;1,2,;1652
00000000006401838730;2021-03-18;06:11:25;1801004726341;1335;116;origin=/ACM, seqNr={1335};Cancelled;8_pass;1,2,;1163
00000000006402085425;2021-03-18;06:28:22;1802022184576;1336;-1;origin=/ACM, seqNr={1336};Success;8_pass;0,;12
00000000006402151037;2021-03-18;06:29:28;1802087541884;1337;-1;origin=/ACM, seqNr={1337};Success;4_pass;0,;12
00000000006402522987;2021-03-18;06:34:36;1802395918341;1338;-1;origin=/ACM, seqNr={1338};Success;8_pass_pinCure;0,;79
00000000006405238225;2021-03-18;07:15:22;1804842332167;1342;117;origin=/ACM, seqNr={1342};Success;8_pass;1,;943
00000000006406507993;2021-03-18;07:32:55;1805894799648;1343;118;origin=/ACM, seqNr={1343};Success;8_pass;1,2,;459
00000000006412524112;2021-03-18;08:59:02;1811061419704;1344;119;origin=/ACM, seqNr={1344};Success;8_pass;1,;2127
00000000006413060864;2021-03-18;09:22:39;1812478566297;1345;120;origin=/ACM, seqNr={1345};Cancelled;8_pass;1,;126
00000000006420273467;2021-03-18;10:44:51;1817410912226;1346;121;origin=/ACM, seqNr={1346};Success;8_pass;1,;2530
00000000006420968018;2021-03-18;11:48:16;1821215741887;1347;122;origin=/ACM, seqNr={1347};Success;8_pass;1,;128
00000000006421433506;2021-03-18;12:15:32;1822851114556;1348;123;origin=/ACM, seqNr={1348};Success;8_pass;1,;102
00000000006422199471;2021-03-18;14:33:39;1831138254214;1349;124;origin=/ACM, seqNr={1349};Success;4_pass;1,;83
00000000006445226645;2021-03-19;02:57:36;1875774010672;1350;125;origin=/ACM, seqNr={1350};Success;8_pass;1,;7262
00000000006452296649;2021-03-19;04:48:50;1882448373331;1356;126;origin=/ACM, seqNr={1356};Success;8_pass_pinCure;1,;1413
00000000006457570885;2021-03-19;05:56:50;1886527521132;1357;127;origin=/ACM, seqNr={1357};Success;8_pass;1,;1981
00000000006460795824;2021-03-19;06:36:58;1888936200555;1358;128;origin=/ACM, seqNr={1358};Success;8_pass;1,;1216
00000000006475076344;2021-03-19;09:40:09;1899926415217;1359;129;origin=/ACM, seqNr={1359};Success;8_pass;1,2,;5277
00000000006480919886;2021-03-19;11:03:21;1904917933796;1360;130;origin=/ACM, seqNr={1360};Success;8_pass;1,;2159
00000000006487443450;2021-03-19;12:34:25;1910382178333;1361;131;origin=/ACM, seqNr={1361};Cancelled;8_pass;1,2,;2422
00000000006488171383;2021-03-19;13:07:12;1912348781644;1362;132;origin=/ACM, seqNr={1362};Success;8_pass;1,;187
00000000006488943693;2021-03-19;13:52:34;1915070767951;1370;133;origin=/ACM, seqNr={1370};Cancelled;8_pass_pinCure;1,;32
00000000006498780344;2021-03-21;22:48:20;2120011796687;1376;134;origin=/ACM, seqNr={1376};Cancelled;3_pass_pinCure;1,;45
00000000006499288212;2021-03-21;22:55:31;2120442741090;1377;135;origin=/ACM, seqNr={1377};Success;8_pass_pinCure;1,;128
00000000006510994611;2021-03-22;03:08:18;2135609207991;1383;136;origin=/ACM, seqNr={1383};Success;8_pass_pinCure;1,;2375
00000000006522191003;2021-03-22;04:54:46;2141997317819;1384;137;origin=/ACM, seqNr={1384};Success;8_pass_pinCure;1,;2809
00000000006525285740;2021-03-22;05:27:11;2143942131500;1385;138;origin=/ACM, seqNr={1385};Success;8_pass_pinCure;1,;768
00000000006549141381;2021-03-22;09:51:50;2159821310247;1386;139;origin=/ACM, seqNr={1386};Success;8_pass;1,;8281
