ullid;date;time;LocalTime[us];EngineCycleId#;PrintCycleId#;ActionId$;Result$;PrintMode$;Images~;SquareDecimeter[dm2]#
00000000004687391155;2021-02-15;13:19:05;26799413550;1084;1;origin=/ACM, seqNr={1084};Success;8_pass_pinCure;1,;3902
00000000004706236186;2021-02-15;17:03:10;40243823750;1085;2;origin=/ACM, seqNr={1085};Success;8_pass;1,;6896
00000000004724330562;2021-02-15;20:48:04;53737312561;1086;3;origin=/ACM, seqNr={1086};Success;8_pass;1,;6707
00000000004744900681;2021-02-16;09:00:53;97705777277;1087;4;origin=/ACM, seqNr={1087};Success;8_pass;1,;6960
00000000004750818497;2021-02-16;10:22:48;102621124922;1088;5;origin=/ACM, seqNr={1088};Success;8_pass;1,;2140
00000000004765987275;2021-02-16;13:39:34;114426459613;1094;6;origin=/ACM, seqNr={1094};Success;8_pass_pinCure;1,;3487
00000000004784052145;2021-02-16;17:41:03;128915518811;1095;7;origin=/ACM, seqNr={1095};Success;8_pass;1,;6737
00000000004793566698;2021-02-16;19:44:56;136348459748;1096;8;origin=/ACM, seqNr={1096};Success;8_pass;1,;3582
00000000004795716300;2021-02-17;05:36:29;171840421076;1097;9;origin=/ACM, seqNr={1097};Success;8_pass;1,;168
00000000004802617808;2021-02-17;06:49:00;176191682665;1098;10;origin=/ACM, seqNr={1098};Success;8_pass_pinCure;1,;1766
00000000004810588971;2021-02-17;08:51:04;183515601798;1099;11;origin=/ACM, seqNr={1099};Cancelled;8_pass;1,;2943
00000000004829456325;2021-02-17;12:57:21;198291833920;1100;12;origin=/ACM, seqNr={1100};Success;8_pass;1,;6920
00000000004831398979;2021-02-17;13:30:13;200264021698;1101;13;origin=/ACM, seqNr={1101};Success;8_pass;1,;690
00000000004831986941;2021-02-17;14:05:36;202387292024;1102;14;origin=/ACM, seqNr={1102};Success;8_pass_pinCure;1,;97
00000000004833081274;2021-02-17;14:39:53;204443916372;1107;15;origin=/ACM, seqNr={1107};Success;8_pass_pinCure;1,;113
00000000004852433553;2021-02-17;18:42:42;219012263224;1108;16;origin=/ACM, seqNr={1108};Success;8_pass;1,;6808
00000000004854432804;2021-02-18;05:45:36;258785870122;1109;17;origin=/ACM, seqNr={1109};Success;8_pass;1,;57
00000000004871274212;2021-02-18;09:10:23;271072519522;1110;18;origin=/ACM, seqNr={1110};Success;8_pass;1,2,;5970
00000000004890551332;2021-02-18;13:09:46;285435199670;1111;19;origin=/ACM, seqNr={1111};Cancelled;8_pass;1,;6998
00000000004891628943;2021-02-18;13:30:16;286665519327;1112;20;origin=/ACM, seqNr={1112};Success;8_pass;1,;362
00000000004901594381;2021-02-18;15:58:19;295548374286;1118;21;origin=/ACM, seqNr={1118};Success;8_pass_pinCure;1,;2262
00000000004922667366;2021-02-19;10:00:16;360464133621;1119;22;origin=/ACM, seqNr={1119};Success;8_pass;1,2,;6933
00000000004925506442;2021-02-19;11:24:24;365512438701;1125;23;origin=/ACM, seqNr={1125};Success;8_pass;1,;343
00000000004926892309;2021-02-19;11:53:35;367262958886;1129;24;origin=/ACM, seqNr={1129};Success;8_pass;1,;473
00000000004936969847;2021-02-19;14:34:28;376915846363;1130;28;origin=/ACM, seqNr={1130};Success;8_pass;1,;3803
00000000004945072682;2021-02-19;16:45:00;384747956864;1131;29;origin=/ACM, seqNr={1131};Success;8_pass;1,;3003
00000000004963032493;2021-02-19;20:21:22;397728984944;1132;30;origin=/ACM, seqNr={1132};Success;8_pass;1,;6696
00000000004977387121;2021-02-21;19:44:26;568310435090;1133;31;origin=/ACM, seqNr={1133};Success;8_pass;1,2,;2907
00000000004981425859;2021-02-21;20:31:00;571103995303;1134;32;origin=/ACM, seqNr={1134};Success;8_pass_pinCure;1,;1102
00000000005000217204;2021-02-22;00:23:28;585052204776;1135;33;origin=/ACM, seqNr={1135};Cancelled;8_pass;1,;6930
00000000005007073029;2021-02-22;01:54:45;590528935103;1136;34;origin=/ACM, seqNr={1136};Success;8_pass;1,2,3,;2565
00000000005017184427;2021-02-22;03:45:23;597167122551;1137;35;origin=/ACM, seqNr={1137};Success;8_pass_pinCure;1,2,3,;2783
00000000005017331723;2021-02-22;04:12:46;598809643654;1138;36;origin=/ACM, seqNr={1138};Cancelled;8_pass_pinCure;1,;0
00000000005026067198;2021-02-22;05:46:07;604411171647;1139;37;origin=/ACM, seqNr={1139};Success;8_pass_pinCure;1,;2405
00000000005030658500;2021-02-22;06:40:40;607683137827;1140;38;origin=/ACM, seqNr={1140};Success;8_pass_pinCure;1,;1224
00000000005034709605;2021-02-22;07:49:02;611785942196;1141;39;origin=/ACM, seqNr={1141};Success;8_pass;1,;1459
00000000005041519123;2021-02-22;09:22:26;617389085533;1142;40;origin=/ACM, seqNr={1142};Cancelled;8_pass;1,2,;2568
00000000005043553109;2021-02-22;10:04:25;619907968450;1143;41;origin=/ACM, seqNr={1143};Success;8_pass;1,2,;720
00000000005044060089;2021-02-22;10:11:10;620313003191;1144;42;origin=/ACM, seqNr={1144};Success;4_pass;1,;341
00000000005045845735;2021-02-22;11:12:58;624021288466;1148;43;origin=/ACM, seqNr={1148};Success;8_pass;1,;578
00000000005064687494;2021-02-22;15:45:29;640372095204;1149;44;origin=/ACM, seqNr={1149};Success;8_pass;1,;6904
00000000005083396141;2021-02-22;23:10:36;667078268211;1150;45;origin=/ACM, seqNr={1150};Success;8_pass;1,;6527
00000000005101776222;2021-02-23;03:09:52;681434335738;1151;46;origin=/ACM, seqNr={1151};Success;8_pass;1,;6811
00000000005120460578;2021-02-23;06:56:52;695053625506;1152;47;origin=/ACM, seqNr={1152};Success;8_pass;1,;6816
00000000005139229350;2021-02-23;10:59:36;709618020120;1153;48;origin=/ACM, seqNr={1153};Success;8_pass;1,;6943
00000000005147804624;2021-02-23;13:00:43;716884316745;1154;49;origin=/ACM, seqNr={1154};Success;8_pass;1,;3205
00000000005148328204;2021-02-23;13:17:13;717874674479;1155;50;origin=/ACM, seqNr={1155};Success;8_pass_pinCure;1,;102
00000000005157387178;2021-02-23;15:12:44;724805843991;1156;51;origin=/ACM, seqNr={1156};Success;8_pass_pinCure;1,;2439
00000000005177573246;2021-02-24;03:09:54;767834525729;1157;52;origin=/ACM, seqNr={1157};Success;8_pass;1,;6831
00000000005186937389;2021-02-24;04:50:45;773885472648;1158;53;origin=/ACM, seqNr={1158};Success;8_pass_pinCure;1,;2479
00000000005196709043;2021-02-24;07:01:24;781724410934;1159;54;origin=/ACM, seqNr={1159};Success;8_pass;1,;3555
00000000005223177550;2021-02-25;03:38:21;855940618058;1160;55;origin=/ACM, seqNr={1160};Success;8_pass;1,2,;8304
00000000005223217958;2021-02-25;03:43:26;856245671580;1161;58;origin=/ACM, seqNr={1161};Failed;8_pass_pinCure;1,;0
00000000005229586474;2021-02-25;04:48:14;860133582668;1162;59;origin=/ACM, seqNr={1162};Success;8_pass_pinCure;1,;1682
00000000005253663116;2021-02-25;08:57:47;875105905821;1163;60;origin=/ACM, seqNr={1163};Success;8_pass;1,2,;7591
