ullid;date;time;LocalTime[us];EngineCycleId#;PrintCycleId#;ActionId$;Result$;PrintMode$;Images~;SquareDecimeter[dm2]#
00000000008695506430;2021-05-28;07:52:28;5492005733;1977;1;origin=/ACM, seqNr={1977};Success;8_pass_pinCure;1,;733
00000000008695942529;2021-05-28;08:07:50;6413645856;1978;2;origin=/ACM, seqNr={1978};Success;8_pass;1,;112
00000000008696434629;2021-05-28;08:35:54;8097539153;1979;3;origin=/ACM, seqNr={1979};Success;8_pass;1,;105
00000000008716417723;2021-05-28;14:16:16;28519041481;1980;4;origin=/ACM, seqNr={1980};Success;8_pass;1,;6164
00000000008729033233;2021-05-31;07:25:43;263081286988;1986;5;origin=/ACM, seqNr={1986};Success;8_pass_pinCure;1,;470
00000000008731194184;2021-05-31;08:46:08;267906518323;1987;6;origin=/ACM, seqNr={1987};Success;8_pass;1,;640
00000000008731714094;2021-05-31;09:53:06;271923717217;1988;7;origin=/ACM, seqNr={1988};Success;8_pass;1,;59
00000000008734723520;2021-05-31;10:56:18;275716579581;1989;8;origin=/ACM, seqNr={1989};Success;8_pass;1,;943
00000000008748980363;2021-06-01;09:50:44;358180714881;1995;9;origin=/ACM, seqNr={1995};Success;8_pass_pinCure;1,;2451
00000000008755790638;2021-06-01;11:30:15;364151641538;1996;10;origin=/ACM, seqNr={1996};Success;8_pass;1,;2304
00000000008756253176;2021-06-01;11:39:59;364735337758;1997;11;origin=/ACM, seqNr={1997};Success;8_pass_pinCure;1,;86
00000000008778393187;2021-06-01;15:45:29;379465062166;1998;12;origin=/ACM, seqNr={1998};Success;8_pass;1,2,;7384
00000000008798683564;2021-06-01;19:30:40;392975357264;1999;13;origin=/ACM, seqNr={1999};Success;8_pass;1,;6873
00000000008804265316;2021-06-02;08:12:38;438692467525;2005;14;origin=/ACM, seqNr={2005};Success;8_pass_pinCure;1,;526
00000000008815984435;2021-06-02;10:38:01;447415824413;2006;15;origin=/ACM, seqNr={2006};Success;8_pass;1,2,;4144
00000000008827210496;2021-06-02;17:11:36;471030114546;2007;16;origin=/ACM, seqNr={2007};Success;8_pass;1,;3463
00000000008831115471;2021-06-03;07:38:17;523030342727;2008;17;origin=/ACM, seqNr={2008};Success;8_pass;1,;570
00000000008837020450;2021-06-03;09:20:35;529168011876;2014;18;origin=/ACM, seqNr={2014};Success;8_pass_pinCure;1,;1063
00000000008846563091;2021-06-03;11:18:08;536220520221;2015;19;origin=/ACM, seqNr={2015};Success;8_pass;1,;3389
00000000008862198735;2021-06-03;17:22:15;558066986124;2016;20;origin=/ACM, seqNr={2016};Success;8_pass;1,2,;4921
00000000008866467617;2021-06-04;07:48:51;610062085452;2017;21;origin=/ACM, seqNr={2017};Success;8_pass;1,;700
00000000008871739870;2021-06-04;09:51:07;617397983700;2026;22;origin=/ACM, seqNr={2026};Success;8_pass_pinCure;1,;516
00000000008873166171;2021-06-04;10:20:05;619136395712;2027;23;origin=/ACM, seqNr={2027};Success;8_pass_pinCure;1,;353
00000000008882924289;2021-06-04;12:19:05;626276068753;2028;24;origin=/ACM, seqNr={2028};Success;8_pass;1,;3511
00000000008884980744;2021-06-04;12:51:13;628203806260;2029;25;origin=/ACM, seqNr={2029};Success;8_pass;1,;713
00000000008895170871;2021-06-04;16:17:45;640595759623;2030;26;origin=/ACM, seqNr={2030};Success;8_pass;1,2,;3296
00000000008904953714;2021-06-07;06:14:00;863565774906;2031;27;origin=/ACM, seqNr={2031};Cancelled;8_pass_pinCure;1,;213
00000000008909422703;2021-06-07;07:13:57;867162437796;2035;28;origin=/ACM, seqNr={2035};Success;8_pass_pinCure;1,;1121
00000000008913397042;2021-06-07;08:24:49;871414259777;2036;31;origin=/ACM, seqNr={2036};Success;8_pass;1,;1301
00000000008922237887;2021-06-07;11:18:26;881831546432;2037;32;origin=/ACM, seqNr={2037};Success;8_pass;1,;2882
00000000008924589644;2021-06-07;12:29:12;886077472431;2043;34;origin=/ACM, seqNr={2043};Success;8_pass;1,;182
00000000008949031784;2021-06-07;17:20:36;903561409675;2044;35;origin=/ACM, seqNr={2044};Success;8_pass;1,;8218
00000000008950946258;2021-06-08;05:24:22;946986471390;2045;36;origin=/ACM, seqNr={2045};Failed;8_pass;1,;0
00000000008961472879;2021-06-08;07:20:47;953971322751;2046;37;origin=/ACM, seqNr={2046};Success;8_pass;1,;3583
00000000008961773132;2021-06-08;07:34:06;954770070366;2047;38;origin=/ACM, seqNr={2047};Cancelled;8_pass_pinCure;1,;37
00000000008962477258;2021-06-08;07:52:35;955878589298;2051;39;origin=/ACM, seqNr={2051};Cancelled;8_pass_pinCure;1,;121
00000000008968094444;2021-06-08;09:40:38;962361792271;2057;40;origin=/ACM, seqNr={2057};Success;8_pass_pinCure;1,;937
00000000008969545505;2021-06-08;09:55:40;963264088205;2058;41;origin=/ACM, seqNr={2058};Success;8_pass_pinCure;1,;353
