ullid;date;time;LocalTime[us];EngineCycleId#;PrintCycleId#;ActionId$;Result$;PrintMode$;Images~;SquareDecimeter[dm2]#
00000000007228749528;2021-04-09;10:45:18;1397120692981;1552;97;origin=/ACM, seqNr={1552};Cancelled;8_pass;1,;694
00000000007235928868;2021-04-09;13:01:45;1405307429828;1558;98;origin=/ACM, seqNr={1558};Success;8_pass;1,;1896
00000000007236841272;2021-04-09;13:18:19;1406301742258;1559;101;origin=/ACM, seqNr={1559};Success;8_pass_pinCure;1,;239
00000000007248618261;2021-04-11;22:41:17;1612875515581;1560;102;origin=/ACM, seqNr={1560};Success;8_pass;1,;1329
00000000007256058291;2021-04-12;00:18:57;1618735644207;1561;103;origin=/ACM, seqNr={1561};Success;8_pass;1,;2650
00000000007262180278;2021-04-12;02:27:39;1626456876320;1567;104;origin=/ACM, seqNr={1567};Success;8_pass_pinCure;1,;1088
00000000007272581046;2021-04-12;04:25:39;1633536756082;1568;105;origin=/ACM, seqNr={1568};Success;8_pass_pinCure;1,;3126
00000000007277893792;2021-04-12;05:27:41;1637259072457;1569;106;origin=/ACM, seqNr={1569};Success;8_pass_pinCure;1,;1570
00000000007292287083;2021-04-12;08:17:22;1647439412423;1570;107;origin=/ACM, seqNr={1570};Success;8_pass;1,;5129
00000000007316196372;2021-04-12;12:53:24;1664001291712;1571;108;origin=/ACM, seqNr={1571};Success;8_pass;1,;8345
00000000007331582452;2021-04-13;00:31:07;1705863109589;1572;109;origin=/ACM, seqNr={1572};Success;8_pass;1,;4903
00000000007343229024;2021-04-13;03:12:24;1715540168422;1578;110;origin=/ACM, seqNr={1578};Success;8_pass_pinCure;1,2,;2699
00000000007356203319;2021-04-13;05:57:59;1725475164921;1579;111;origin=/ACM, seqNr={1579};Success;8_pass;1,;4581
00000000007365581325;2021-04-13;08:40:48;1735244258773;1580;112;origin=/ACM, seqNr={1580};Success;8_pass;1,;3203
00000000007367917952;2021-04-13;10:07:10;1740426074554;1581;113;origin=/ACM, seqNr={1581};Success;8_pass;1,;722
00000000007377173372;2021-04-13;23:46:55;1789610258442;1582;114;origin=/ACM, seqNr={1582};Success;8_pass;1,;2553
00000000007385148359;2021-04-14;02:18:46;1798720680940;1588;115;origin=/ACM, seqNr={1588};Success;8_pass_pinCure;1,2,;1584
00000000007386848586;2021-04-14;03:48:41;1804115879827;1589;116;origin=/ACM, seqNr={1589};Success;8_pass;1,;473
00000000007396465269;2021-04-14;05:45:09;1811103579016;1590;117;origin=/ACM, seqNr={1590};Success;8_pass;1,;3433
00000000007404512547;2021-04-14;07:42:50;1818164776678;1591;118;origin=/ACM, seqNr={1591};Success;8_pass;1,;2812
00000000007412305429;2021-04-14;23:37:53;1875466080194;1592;119;origin=/ACM, seqNr={1592};Success;8_pass;1,;1914
00000000007419632971;2021-04-15;01:57:09;1883822359073;1598;120;origin=/ACM, seqNr={1598};Success;8_pass_pinCure;1,;1397
