ullid;date;time;LocalTime[us];EngineCycleId#;PrintCycleId#;ActionId$;Result$;PrintMode$;Images~;SquareDecimeter[dm2]#
00000000013961401007;2021-11-29;17:10:31;10704836835;3710;1;origin=/ACM, seqNr={3710};Success;8_pass_pinCure;1,;4221
00000000013971777064;2021-11-29;19:20:15;18488442115;3712;2;origin=/ACM, seqNr={3712};Success;8_pass_pinCure;1,;2978
00000000013983378753;2021-11-30;07:48:44;63396311387;3713;3;origin=/ACM, seqNr={3713};Cancelled;8_pass;1,;3719
00000000013995319265;2021-11-30;10:56:11;74643265818;3719;4;origin=/ACM, seqNr={3719};Success;8_pass;1,;3954
00000000014002323663;2021-11-30;12:57:59;81951131622;3720;5;origin=/ACM, seqNr={3720};Success;8_pass;1,;2673
00000000014011600069;2021-11-30;14:57:28;89120092262;3721;6;origin=/ACM, seqNr={3721};Success;8_pass;1,;3640
00000000014013144626;2021-11-30;15:20:37;90508956844;3722;8;origin=/ACM, seqNr={3722};Success;8_pass;1,2,;582
00000000014013763321;2021-11-30;15:38:09;91561188932;3723;10;origin=/ACM, seqNr={3723};Success;8_pass_pinCure;1,;144
00000000014024251888;2021-11-30;17:41:07;98939152043;3727;11;origin=/ACM, seqNr={3727};Cancelled;8_pass_pinCure;1,;3069
00000000014033327202;2021-12-01;06:33:40;145290513665;3728;13;origin=/ACM, seqNr={3728};Success;8_pass_pinCure;1,2,;1905
00000000014041163059;2021-12-01;08:28:03;152153627095;3729;14;origin=/ACM, seqNr={3729};Success;8_pass;1,;3137
00000000014050089986;2021-12-01;10:25:30;159200080055;3730;16;origin=/ACM, seqNr={3730};Success;4_pass;1,;7071
00000000014050187737;2021-12-01;10:42:48;160238407042;3731;17;origin=/ACM, seqNr={3731};Failed;4_pass;1,;0
00000000014056013059;2021-12-01;11:57:50;164740544343;3732;18;origin=/ACM, seqNr={3732};Success;4_pass;1,;4519
00000000014062425404;2021-12-01;13:29:16;170226035939;3733;21;origin=/ACM, seqNr={3733};Cancelled;8_pass;1,;2513
00000000014063517166;2021-12-01;13:54:44;171754134352;3734;22;origin=/ACM, seqNr={3734};Success;8_pass;1,;382
00000000014064092583;2021-12-01;14:09:43;172652886112;3735;23;origin=/ACM, seqNr={3735};Success;8_pass;1,;191
