ullid;date;time;LocalTime[us];EngineCycleId#;PrintCycleId#;ActionId$;Result$;PrintMode$;Images~;SquareDecimeter[dm2]#
00000000002003183686;2020-12-21;05:01:35;4320781343;523;1;origin=/ACM, seqNr={523};Success;8_pass_pinCure;1,;1604
00000000002008655340;2020-12-21;07:18:39;12545122356;524;2;origin=/ACM, seqNr={524};Success;4_pass;1,;4014
00000000002014625857;2020-12-21;08:59:27;18592333379;525;3;origin=/ACM, seqNr={525};Success;8_pass_pinCure;1,;1578
00000000002019793425;2020-12-21;10:53:00;25406011835;526;4;origin=/ACM, seqNr={526};Success;4_pass;1,;3989
00000000002019929992;2020-12-21;11:18:35;26940667749;527;5;origin=/ACM, seqNr={527};Failed;4_pass;1,;0
00000000002024946148;2020-12-21;12:31:31;31316777815;528;6;origin=/ACM, seqNr={528};Success;4_pass;1,;3819
00000000002025162783;2020-12-21;13:16:08;33993061377;529;7;origin=/ACM, seqNr={529};Failed;4_pass;1,;0
00000000002028043988;2020-12-21;13:55:38;36363507477;530;8;origin=/ACM, seqNr={530};Success;4_pass;1,;2270
00000000002028735277;2020-12-21;14:07:54;37099471821;531;9;origin=/ACM, seqNr={531};Success;4_pass;1,;510
00000000002030477900;2020-12-21;15:28:33;41937729227;532;10;origin=/ACM, seqNr={532};Cancelled;4_pass;1,2,;1160
00000000002030908115;2020-12-21;15:59:32;43797035967;533;11;origin=/ACM, seqNr={533};Success;4_pass;1,;206
00000000002034473506;2020-12-21;17:51:10;50494530676;534;12;origin=/ACM, seqNr={534};Success;4_pass;1,;2575
00000000002040302605;2020-12-21;21:56:20;65204235779;535;13;origin=/ACM, seqNr={535};Success;4_pass;1,;3927
00000000002043144592;2020-12-21;23:13:27;69831886802;536;14;origin=/ACM, seqNr={536};Cancelled;4_pass;1,;2053
00000000002045719730;2020-12-21;23:59:53;72617873782;537;16;origin=/ACM, seqNr={537};Success;4_pass;1,;1991
00000000002047635724;2020-12-22;01:32:36;78180173283;538;17;origin=/ACM, seqNr={538};Success;8_pass;1,;553
00000000002051436695;2020-12-22;04:11:14;87698485923;539;18;origin=/ACM, seqNr={539};Success;8_pass;1,;1153
00000000002052509129;2020-12-22;04:48:52;89956302551;540;19;origin=/ACM, seqNr={540};Success;8_pass;1,;317
00000000002053061240;2020-12-22;04:57:31;90474939450;541;20;origin=/ACM, seqNr={541};Success;8_pass;1,;176
00000000002055945709;2020-12-22;06:25:07;95730505945;542;21;origin=/ACM, seqNr={542};Success;8_pass;1,;950
00000000002058431794;2020-12-22;06:59:45;97809303973;543;22;origin=/ACM, seqNr={543};Success;8_pass;1,;832
00000000002072491624;2020-12-22;09:44:14;107678103222;544;23;origin=/ACM, seqNr={544};Success;8_pass_pinCure;1,;3329
00000000002077803683;2020-12-22;11:13:58;113061403949;545;24;origin=/ACM, seqNr={545};Success;4_pass;1,;4033
00000000002077911736;2020-12-22;11:33:20;114223109296;546;25;origin=/ACM, seqNr={546};Failed;4_pass;1,;0
00000000002082977249;2020-12-22;12:41:22;118305358402;547;26;origin=/ACM, seqNr={547};Success;4_pass;1,;4001
00000000002089665502;2020-12-22;14:49:24;125987783131;553;27;origin=/ACM, seqNr={553};Success;4_pass;1,;3943
00000000002090151201;2020-12-22;15:39:24;128987590081;554;28;origin=/ACM, seqNr={554};Success;8_pass;1,;68
00000000002090623257;2020-12-22;15:57:31;130074111278;555;29;origin=/ACM, seqNr={555};Success;8_pass_pinCure;1,;103
00000000002091066240;2020-12-22;16:09:55;130818587533;556;30;origin=/ACM, seqNr={556};Success;8_pass_pinCure;1,;103
00000000002096224846;2020-12-22;17:39:00;136162650351;557;31;origin=/ACM, seqNr={557};Success;4_pass;1,;3968
00000000002101947009;2020-12-22;21:11:16;148899087921;558;32;origin=/ACM, seqNr={558};Success;4_pass;1,;3943
00000000002103574279;2020-12-22;21:57:48;151690957471;559;33;origin=/ACM, seqNr={559};Success;4_pass;1,;1146
00000000002106871351;2020-12-22;23:42:54;157996294918;560;34;origin=/ACM, seqNr={560};Success;4_pass;1,;2290
