ullid;date;time;LocalTime[us];EngineCycleId#;PrintCycleId#;ActionId$;Result$;PrintMode$;Images~;SquareDecimeter[dm2]#
00000000008992226817;2021-06-09;07:20:43;2909388163;2060;1;origin=/ACM, seqNr={2060};Success;8_pass_pinCure;1,;936
00000000008992710823;2021-06-09;07:33:21;3666980203;2061;2;origin=/ACM, seqNr={2061};Success;8_pass;1,;125
00000000009009248995;2021-06-09;14:24:58;28363875350;2062;3;origin=/ACM, seqNr={2062};Success;8_pass;1,;5131
00000000009014503176;2021-06-10;07:49:15;91019263746;2068;4;origin=/ACM, seqNr={2068};Cancelled;8_pass_pinCure;1,2,;251
00000000009017160372;2021-06-10;08:19:38;92842083415;2073;5;origin=/ACM, seqNr={2073};Cancelled;8_pass_pinCure;1,2,;607
00000000009017592755;2021-06-10;08:28:39;93383312226;2074;7;origin=/ACM, seqNr={2074};Success;8_pass_pinCure;1,;86
00000000009027541171;2021-06-10;10:57:26;102309531362;2075;8;origin=/ACM, seqNr={2075};Cancelled;8_pass;1,;3302
00000000009032093023;2021-06-10;12:12:16;106799363354;2076;9;origin=/ACM, seqNr={2076};Success;8_pass;1,;1485
00000000009052430345;2021-06-10;17:15:52;125015396729;2077;10;origin=/ACM, seqNr={2077};Success;8_pass;1,;6559
00000000009061400409;2021-06-11;09:03:39;181880779658;2083;11;origin=/ACM, seqNr={2083};Success;8_pass_pinCure;1,;1250
00000000009073301236;2021-06-11;11:27:15;190496763893;2084;12;origin=/ACM, seqNr={2084};Success;8_pass;1,;4152
00000000009082793778;2021-06-11;13:19:50;197251426449;2085;13;origin=/ACM, seqNr={2085};Success;8_pass;1,;3395
00000000009083012272;2021-06-11;13:23:06;197447645842;2086;14;origin=/ACM, seqNr={2086};Success;6_pass;1,;52
00000000009084835221;2021-06-11;13:49:10;199011442670;2087;15;origin=/ACM, seqNr={2087};Success;8_pass;1,;633
00000000009085495170;2021-06-11;14:06:41;200062478747;2088;16;origin=/ACM, seqNr={2088};Success;8_pass;1,;189
00000000009095035989;2021-06-11;17:24:49;211950020842;2089;17;origin=/ACM, seqNr={2089};Success;8_pass;1,;3032
