ullid;date;time;LocalTime[us];EngineCycleId#;PrintCycleId#;ActionId$;Result$;PrintMode$;Images~;SquareDecimeter[dm2]#
00000000003348747997;2021-01-20;08:23:11;1827954330032;859;183;origin=/ACM, seqNr={859};Success;8_pass;1,;1101
00000000003349166399;2021-01-20;08:32:01;1828484614927;860;184;origin=/ACM, seqNr={860};Cancelled;8_pass_pinCure;1,;71
00000000003355319678;2021-01-20;09:39:22;1832525024990;865;185;origin=/ACM, seqNr={865};Cancelled;8_pass_pinCure;1,;1636
00000000003358225395;2021-01-20;10:23:09;1835152201879;869;186;origin=/ACM, seqNr={869};Success;8_pass_pinCure;1,2,;822
00000000003359130406;2021-01-20;10:46:24;1836546648283;874;187;origin=/ACM, seqNr={874};Success;8_pass;1,;163
00000000003360123030;2021-01-20;11:04:40;1837642708566;875;188;origin=/ACM, seqNr={875};Success;8_pass;1,;324
00000000003367771373;2021-01-20;12:44:52;1843654762446;876;189;origin=/ACM, seqNr={876};Success;8_pass;1,;2697
00000000003375029486;2021-01-20;14:18:24;1849266442524;877;190;origin=/ACM, seqNr={877};Success;8_pass;1,;2584
00000000003378100767;2021-01-20;23:04:30;1880832219738;878;191;origin=/ACM, seqNr={878};Success;8_pass;1,;480
00000000003389247774;2021-01-21;01:30:15;1889577378436;879;192;origin=/ACM, seqNr={879};Success;8_pass;1,;3982
00000000003399621377;2021-01-21;03:41:18;1897440073493;880;193;origin=/ACM, seqNr={880};Success;8_pass;1,;3980
00000000003406208587;2021-01-21;05:05:45;1902506979924;881;194;origin=/ACM, seqNr={881};Success;8_pass;1,;2517
00000000003411346064;2021-01-21;06:07:04;1906185343075;882;195;origin=/ACM, seqNr={882};Success;8_pass_pinCure;1,;1443
00000000003417070807;2021-01-21;07:22:10;1910691559348;883;196;origin=/ACM, seqNr={883};Success;8_pass;1,;1887
00000000003426432297;2021-01-21;09:15:03;1917464945976;884;197;origin=/ACM, seqNr={884};Success;8_pass;1,;3139
00000000003426716995;2021-01-21;09:19:46;1917747766501;885;198;origin=/ACM, seqNr={885};Success;8_pass;1,;73
00000000003434909571;2021-01-21;10:57:48;1923629099879;886;199;origin=/ACM, seqNr={886};Cancelled;8_pass;1,2,;2740
00000000003436297030;2021-01-21;11:39:46;1768881511;887;201;origin=/ACM, seqNr={887};Success;8_pass;1,;405
00000000003437448443;2021-01-21;11:54:17;2640387776;888;202;origin=/ACM, seqNr={888};Success;8_pass;1,;370
00000000003437860456;2021-01-21;12:00:09;2992009051;889;203;origin=/ACM, seqNr={889};Success;8_pass;1,;117
00000000003460366654;2021-01-21;16:31:52;19295168969;890;204;origin=/ACM, seqNr={890};Success;8_pass;1,;8475
00000000003471276808;2021-01-22;00:27:49;47851516008;891;205;origin=/ACM, seqNr={891};Success;8_pass;1,;3560
00000000003481783573;2021-01-22;02:38:36;55698093734;892;206;origin=/ACM, seqNr={892};Success;8_pass;1,;3967
00000000003488477678;2021-01-22;04:04:49;60871187985;893;207;origin=/ACM, seqNr={893};Success;8_pass;1,;2586
00000000003494321891;2021-01-22;05:07:58;64659831423;894;208;origin=/ACM, seqNr={894};Success;8_pass_pinCure;1,;1573
00000000003494697057;2021-01-22;05:16:47;65188629159;895;209;origin=/ACM, seqNr={895};Success;8_pass_pinCure;1,;77
00000000003504521906;2021-01-22;07:23:13;72775060797;896;210;origin=/ACM, seqNr={896};Success;8_pass;1,;3762
00000000003507814235;2021-01-22;08:10:54;75635728053;901;211;origin=/ACM, seqNr={901};Success;8_pass;1,;1118
