ullid;date;time;LocalTime[us];EngineCycleId#;ImageId#;ImageResult$;ImageLengthAnnounced[m]#;ImageLength[m]#;ImageWidth[m]#;MediaType$;PrintMode$;Destination$;JettedInkCyan[ml]#;JettedInkMagenta[ml]#;JettedInkYellow[ml]#;JettedInkBlack[ml]#;AccountedInkCyan[ml]#;AccountedInkMagenta[ml]#;AccountedInkYellow[ml]#;AccountedInkBlack[ml]#;PaperStepMarker$
00000000000498664268;2020-11-26;06:54:58;460283218117;129;1;Succeeded;56.120242;56.120239;1.484969;Canvas;8_pass;Winder;89.238983;102.872870;144.536105;113.478947;85.696000;87.472000;129.345000;96.457000;Wide
00000000000498728739;2020-11-26;07:05:29;460913850314;130;1;Failed;20.794387;0.000000;1.234990;Canvas;8_pass;Winder;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wide
00000000000505739825;2020-11-26;08:40:20;466604986397;131;1;Succeeded;20.794387;20.794386;1.234990;Canvas;8_pass;Winder;31.902300;37.611649;53.695157;43.255084;30.635000;31.981000;48.051000;36.766000;Wide
00000000000505930343;2020-11-26;08:47:04;467009031363;132;1;Succeeded;0.322114;0.322114;1.234990;Canvas;8_pass;Winder;0.567087;0.489959;0.488606;0.698149;0.544000;0.416000;0.437000;0.593000;Wide
00000000000509888535;2020-11-26;10:29:58;473182982886;133;1;Succeeded;12.742841;12.742841;1.335024;Paper;6_pass_pinCure;Winder;16.347744;13.827881;9.310064;14.175696;15.698000;11.757000;8.331000;12.049000;Normal
00000000000510471793;2020-11-26;10:57:26;474830667457;134;1;Succeeded;1.432179;1.432179;1.335024;Paper;6_pass_pinCure;Winder;1.760608;2.373233;2.758909;1.128870;1.690000;2.017000;2.468000;0.959000;Normal
00000000000511120479;2020-11-26;11:27:13;476617914594;135;1;Succeeded;1.432179;1.432179;1.281853;Heavy Paper;8_pass;Winder;1.222436;2.005608;2.141201;1.463736;1.173000;1.705000;1.916000;1.244000;Normal
00000000000511594146;2020-11-26;11:34:05;477029315378;136;1;Succeeded;1.432179;1.432179;1.281966;Heavy Paper;6_pass_pinCure;Winder;1.772539;2.639565;3.013761;1.455045;1.702000;2.244000;2.697000;1.236000;Normal
00000000000531412665;2020-11-26;18:16:40;501184561732;137;1;Succeeded;56.705331;56.705327;1.484969;Canvas;8_pass;Winder;99.217628;112.302607;152.423943;129.747630;85.872000;95.490000;136.404000;110.285000;Wide
00000000000531944842;2020-11-26;19:51:04;506847683334;138;1;Cancelled;12.893167;0.064431;1.335024;Polymeric / cast Vinyl;8_pass_pinCure;Winder;0.233840;0.092587;0.059584;0.137767;0.202000;0.078000;0.053000;0.117000;Normal
