ullid;date;time;LocalTime[us];EngineCycleId#;ImageId#;ImageResult$;ImageLengthAnnounced[m]#;ImageLength[m]#;ImageWidth[m]#;MediaType$;PrintMode$;Destination$;JettedInkCyan[ml]#;JettedInkMagenta[ml]#;JettedInkYellow[ml]#;JettedInkBlack[ml]#;AccountedInkCyan[ml]#;AccountedInkMagenta[ml]#;AccountedInkYellow[ml]#;AccountedInkBlack[ml]#;PaperStepMarker$
00000000009760122582;2021-07-09;06:12:52;67633629582;2346;1;Succeeded;7.552690;7.552690;1.514983;Canvas;8_pass;Winder;8.650268;9.864276;13.264838;10.680095;9.773000;11.331000;13.572000;12.613000;Wide
00000000009760259856;2021-07-09;06:15:20;67782628349;2346;2;Succeeded;0.536109;0.536109;1.514983;Canvas;8_pass;Winder;0.234594;0.194823;0.236594;0.302228;0.265000;0.223000;0.242000;0.356000;Wide
00000000009762151562;2021-07-09;06:41:25;69347102407;2347;1;Succeeded;3.393271;3.393271;1.333048;Paper;8_pass_pinCure;Winder;7.894211;7.669616;5.583113;9.501512;8.919000;8.810000;5.712000;11.221000;Wide
00000000009764369776;2021-07-09;09:47:40;80521565498;2348;1;Failed;16.101356;3.446187;1.514983;Canvas;8_pass;Winder;4.936368;7.018927;10.163372;10.399858;5.577000;8.062000;10.399000;12.282000;Wide
00000000009770531480;2021-07-09;11:54:30;88131430937;2349;1;Succeeded;13.728742;13.728742;1.514983;Canvas;8_pass;Winder;19.405267;25.366226;37.129501;33.401907;21.926000;29.138000;37.990000;39.447000;Wide
00000000009780210836;2021-07-12;06:06:19;326435411419;2350;1;Cancelled;9.424585;0.387011;1.333048;Paper;8_pass_pinCure;Winder;0.957597;0.584042;0.385990;0.449222;1.081000;0.670000;0.394000;0.530000;Wide
00000000009785423514;2021-07-12;07:07:51;330126733678;2358;1;Succeeded;9.424585;9.424585;1.333048;Paper;8_pass_pinCure;Winder;24.903891;25.360604;22.276107;30.597977;28.138000;29.131000;22.792000;36.136000;Wide
00000000009786114496;2021-07-12;07:15:34;330589733218;2358;2;Succeeded;1.613154;1.613154;1.333048;Paper;8_pass_pinCure;Winder;3.180711;5.611335;5.143104;3.937658;3.593000;6.445000;5.262000;4.650000;Wide
00000000009796835474;2021-07-12;09:43:21;339457269886;2359;1;Succeeded;25.084151;25.084150;1.514941;Canvas;8_pass;Winder;38.676729;39.696116;56.091226;52.153385;43.700000;45.598000;62.412000;61.593000;Wide
00000000009797177545;2021-07-12;09:47:48;339724034103;2360;1;Succeeded;0.434128;0.434128;1.514941;Canvas;8_pass;Winder;0.486208;0.662694;1.195886;1.415666;0.549000;0.761000;1.330000;1.671000;Wide
00000000009797352238;2021-07-12;09:50:44;339900034262;2360;2;Succeeded;0.632164;0.632164;1.514941;Canvas;8_pass;Winder;0.675687;0.726639;1.307723;1.112850;0.763000;0.834000;1.455000;1.314000;Wide
00000000009801189732;2021-07-12;10:35:23;342579269593;2361;1;Succeeded;8.922808;8.922808;1.315043;Heavy Paper;8_pass;Winder;16.110377;18.177490;10.337619;4.324023;18.203000;20.880000;11.502000;5.106000;Wide
00000000009803027092;2021-07-12;11:46:41;346856243465;2367;1;Failed;0.642112;0.000000;1.082887;Paper;8_pass_pinCure;Winder;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wide
00000000009803446481;2021-07-12;11:55:56;347412152540;2368;1;Succeeded;0.642112;0.642112;1.082887;Paper;8_pass_pinCure;Winder;0.893094;0.413438;0.710252;0.211242;1.009000;0.474000;0.790000;0.249000;Wide
00000000009805119593;2021-07-12;12:18:03;348739065229;2369;1;Succeeded;4.072382;4.072382;1.064853;Heavy Banner;8_pass;Winder;13.120055;10.650599;3.657303;14.817016;14.824000;12.234000;4.069000;17.498000;Wide
00000000009805319715;2021-07-12;12:27:47;349322222968;2370;1;Succeeded;0.642281;0.642281;1.064881;Paper;3_pass_pinCure;Winder;0.450326;0.456640;0.512596;0.436937;0.508000;0.524000;0.570000;0.516000;Wide
00000000009806060256;2021-07-12;13:44:23;353918263600;2371;1;Succeeded;0.732917;0.732917;1.280033;Heavy Paper;8_pass;Winder;1.042650;0.921231;1.452882;0.668089;1.178000;1.058000;1.616000;0.789000;None
