ullid;date;time;LocalTime[us];EngineCycleId#;ImageId#;ImageResult$;ImageLengthAnnounced[m]#;ImageLength[m]#;ImageWidth[m]#;MediaType$;PrintMode$;Destination$;JettedInkCyan[ml]#;JettedInkMagenta[ml]#;JettedInkYellow[ml]#;JettedInkBlack[ml]#;AccountedInkCyan[ml]#;AccountedInkMagenta[ml]#;AccountedInkYellow[ml]#;AccountedInkBlack[ml]#;PaperStepMarker$
00000000002003182942;2020-12-21;05:01:33;4319063789;523;1;Succeeded;12.111948;12.111948;1.325033;Paper;8_pass_pinCure;Winder;9.364334;10.463742;10.748755;14.170937;9.594000;10.082000;9.612000;13.524000;Wide
00000000002008654628;2020-12-21;07:18:37;12542660123;524;1;Succeeded;27.214872;27.214872;1.474978;Canvas;4_pass;Winder;50.603658;54.070791;77.926756;58.962987;51.848000;52.102000;69.689000;56.274000;Wide
00000000002014624941;2020-12-21;08:59:24;18590129990;525;1;Succeeded;11.912769;11.912769;1.325033;Paper;8_pass_pinCure;Winder;9.465022;10.091029;10.023167;11.649098;9.697000;9.723000;8.963000;11.117000;Wide
00000000002019792856;2020-12-21;10:52:59;25404369228;526;1;Succeeded;27.044692;27.044692;1.474978;Canvas;4_pass;Winder;42.140882;48.111795;69.685410;58.624978;43.177000;46.360000;62.319000;55.951000;Wide
00000000002019930271;2020-12-21;11:18:35;26940670151;527;1;Failed;25.895723;0.000000;1.474978;Canvas;4_pass;Winder;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wide
00000000002024944193;2020-12-21;12:31:26;31311728483;528;1;Succeeded;25.895723;25.895723;1.474978;Canvas;4_pass;Winder;33.163402;42.549576;59.200590;51.450314;33.979000;41.000000;52.943000;49.104000;Wide
00000000002025163101;2020-12-21;13:16:08;33993063804;529;1;Failed;15.393077;0.000000;1.474978;Canvas;4_pass;Winder;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wide
00000000002028043422;2020-12-21;13:55:36;36361659356;530;1;Succeeded;15.393077;15.393070;1.474978;Canvas;4_pass;Winder;23.896695;25.742156;39.118355;39.852622;24.484000;24.805000;36.297000;38.035000;Wide
00000000002028733138;2020-12-21;14:07:49;37093919249;531;1;Succeeded;3.462359;3.462359;1.474978;Canvas;4_pass;Winder;4.526283;3.999395;6.143408;4.912330;4.637000;3.853000;5.700000;4.688000;Wide
00000000002030478208;2020-12-21;15:28:33;41937735725;532;1;Failed;8.372179;7.910463;1.474978;Canvas;4_pass;Winder;11.700895;15.683755;20.466756;18.801067;11.988000;15.112000;18.991000;17.943000;Wide
00000000002030478211;2020-12-21;15:28:33;41937735900;532;2;Failed;1.043136;0.000000;1.474978;Canvas;4_pass;Winder;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wide
00000000002030906084;2020-12-21;15:59:27;43791688641;533;1;Succeeded;1.398312;1.398305;1.474978;Canvas;4_pass;Winder;2.729699;3.122399;3.739756;6.232300;2.796000;3.008000;3.470000;5.948000;Wide
00000000002034471466;2020-12-21;17:51:04;50489172955;534;1;Succeeded;17.464532;17.464532;1.474978;Canvas;4_pass;Winder;20.658356;25.785768;37.697005;33.131668;21.166000;24.847000;34.979000;31.620000;Wide
00000000002040301948;2020-12-21;21:56:18;65202209446;535;1;Succeeded;26.624703;26.624693;1.474978;Canvas;4_pass;Winder;43.975900;50.966360;76.052441;71.270323;45.057000;49.111000;70.569000;68.020000;Wide
00000000002043145019;2020-12-21;23:13:27;69831891002;536;1;Failed;27.294036;14.180283;1.474978;Canvas;4_pass;Winder;22.935376;25.011254;33.368699;29.044490;23.499000;24.100000;30.962000;28.094000;Wide
00000000002045717685;2020-12-21;23:59:48;72612496264;537;1;Succeeded;13.503148;13.503144;1.474978;Canvas;4_pass;Winder;17.974440;21.999624;31.753866;21.868010;18.416000;21.198000;29.464000;21.152000;Wide
00000000002047633079;2020-12-22;01:32:30;78174054446;538;1;Succeeded;4.378452;4.378452;1.264920;Heavy Paper;8_pass;Winder;3.457551;6.421972;5.578067;10.954558;3.542000;6.188000;5.175000;10.596000;Wide
00000000002051434777;2020-12-22;04:11:10;87694214406;539;1;Succeeded;9.122791;9.122791;1.264920;Heavy Paper;8_pass;Winder;6.773490;12.385472;11.375114;20.634619;6.940000;11.934000;10.554000;19.959000;Wide
00000000002052507278;2020-12-22;04:48:48;89952225232;540;1;Succeeded;2.512272;2.512272;1.264920;Heavy Paper;8_pass;Winder;1.829892;2.643692;2.635799;3.594595;1.874000;2.547000;2.445000;3.477000;Wide
00000000002053059293;2020-12-22;04:57:27;90470855020;541;1;Succeeded;1.392174;1.392174;1.264920;Heavy Paper;8_pass;Winder;1.281183;1.209447;1.363430;1.965716;1.312000;1.165000;1.265000;1.901000;Wide
00000000002055943734;2020-12-22;06:25:02;95726430345;542;1;Succeeded;7.512600;7.512600;1.264920;Heavy Paper;8_pass;Winder;5.094153;8.186027;8.035169;13.374414;5.219000;7.888000;7.455000;12.937000;Wide
00000000002058429187;2020-12-22;06:59:40;97803608350;543;1;Succeeded;6.582410;6.582410;1.264920;Heavy Paper;8_pass;Winder;5.894252;9.543192;8.693346;18.703120;6.039000;9.195000;8.066000;18.091000;Wide
00000000002072490709;2020-12-22;09:44:12;107676031523;544;1;Succeeded;22.573403;22.573403;1.475006;Paper;8_pass_pinCure;Winder;19.119461;16.364140;14.714910;24.631777;19.589000;15.768000;13.653000;23.826000;Wide
00000000002077803124;2020-12-22;11:13:56;113059685232;545;1;Succeeded;27.343481;27.343481;1.474978;Canvas;4_pass;Winder;43.837619;50.206081;67.043101;62.685951;44.916000;48.378000;62.209000;60.636000;Wide
00000000002077912049;2020-12-22;11:33:20;114223111697;546;1;Failed;27.128936;0.000000;1.474978;Canvas;4_pass;Winder;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wide
00000000002082976635;2020-12-22;12:41:20;118303480680;547;1;Succeeded;27.128936;27.128936;1.474978;Canvas;4_pass;Winder;40.415344;48.360411;65.213906;65.046375;41.409000;46.600000;60.511000;62.919000;Wide
00000000002089664968;2020-12-22;14:49:23;125986103205;553;1;Succeeded;26.733796;26.733789;1.474978;Canvas;4_pass;Winder;47.254247;56.723013;75.187113;71.316869;48.416000;54.658000;69.766000;68.984000;Wide
00000000002090149330;2020-12-22;15:39:20;128983371061;554;1;Succeeded;0.542121;0.542121;1.264920;Heavy Paper;8_pass;Winder;0.218602;0.320869;0.402946;0.516916;0.223000;0.309000;0.373000;0.500000;Wide
00000000002090622453;2020-12-22;15:57:29;130072240168;555;1;Succeeded;0.782108;0.782108;1.325033;Paper;8_pass_pinCure;Winder;1.658889;1.049025;0.743981;1.431446;1.699000;1.010000;0.690000;1.384000;Wide
00000000002091065260;2020-12-22;16:09:53;130816160773;556;1;Succeeded;0.782066;0.782066;1.325033;Paper;8_pass_pinCure;Freefall;1.472917;0.882368;0.608160;1.099707;1.509000;0.850000;0.564000;1.063000;Wide
00000000002096222747;2020-12-22;17:38:54;136157106220;557;1;Succeeded;26.905924;26.905919;1.474978;Canvas;4_pass;Winder;50.095016;55.894265;63.664529;75.342462;51.327000;53.859000;59.074000;72.878000;Wide
00000000002101946195;2020-12-22;21:11:14;148896490600;558;1;Succeeded;26.733796;26.733789;1.474978;Canvas;4_pass;Winder;44.042516;50.274887;70.685754;66.877858;43.210000;48.444000;65.589000;64.690000;Wide
00000000002103572266;2020-12-22;21:57:43;151685815333;559;1;Succeeded;7.769987;7.769987;1.474978;Canvas;4_pass;Winder;12.502309;15.290413;18.751678;18.406466;12.266000;14.733000;17.399000;17.804000;Wide
00000000002106869424;2020-12-22;23:42:49;157991405348;560;1;Succeeded;15.527909;15.527893;1.474978;Canvas;4_pass;Winder;26.050597;29.053120;34.189049;37.561886;25.558000;27.995000;31.724000;36.333000;Wide
00000000002112012336;2020-12-23;00:58:23;162525824611;561;1;Succeeded;26.534703;26.534688;1.474978;Canvas;4_pass;Winder;45.911258;51.058991;66.597015;70.594310;45.043000;49.200000;61.795000;68.285000;Wide
00000000002117060901;2020-12-23;02:10:54;166876664726;562;1;Succeeded;26.531189;26.531186;1.474978;Canvas;4_pass;Winder;41.765187;46.396468;60.644740;62.548423;40.975000;44.707000;56.272000;60.503000;Wide
00000000002118745113;2020-12-23;02:42:21;168762923343;563;1;Succeeded;8.504386;8.504374;1.474978;Canvas;4_pass;Winder;12.921528;15.057803;18.326196;20.680016;12.677000;14.509000;17.004000;20.003000;Wide
00000000002119363131;2020-12-23;02:50:59;169281053190;564;1;Succeeded;3.072511;3.072497;1.474978;Canvas;4_pass;Winder;3.670229;4.539626;6.242593;7.077978;3.600000;4.374000;5.792000;6.846000;Wide
00000000002119976794;2020-12-23;04:06:26;173808548883;565;1;Succeeded;1.228132;1.228123;1.474978;Canvas;4_pass;Winder;1.834241;2.080023;2.839883;4.727153;1.799000;2.004000;2.635000;4.572000;Wide
00000000002125799776;2020-12-23;07:20:16;185437682267;566;1;Succeeded;27.205686;27.205669;1.474978;Canvas;4_pass;Winder;38.533694;49.414759;72.918613;56.226851;37.805000;47.616000;67.661000;54.388000;Wide
00000000002125955799;2020-12-23;07:51:16;187297656144;567;1;Failed;26.944235;0.000000;1.474978;Canvas;4_pass;Winder;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wide
00000000002130982427;2020-12-23;08:57:54;191295790536;568;1;Succeeded;26.944235;26.944235;1.474978;Canvas;4_pass;Winder;42.125708;49.876424;67.576651;60.467460;41.329000;49.372000;62.704000;58.490000;Wide
