ullid;date;time;LocalTime[us];EngineCycleId#;ImageId#;ImageResult$;ImageLengthAnnounced[m]#;ImageLength[m]#;ImageWidth[m]#;MediaType$;PrintMode$;Destination$;JettedInkCyan[ml]#;JettedInkMagenta[ml]#;JettedInkYellow[ml]#;JettedInkBlack[ml]#;AccountedInkCyan[ml]#;AccountedInkMagenta[ml]#;AccountedInkYellow[ml]#;AccountedInkBlack[ml]#;PaperStepMarker$
00000000007819641546;2021-04-30;06:57:23;251340273972;1738;1;Succeeded;5.152390;5.152390;1.545054;Paper;8_pass_pinCure;Winder;11.290581;11.927974;11.168292;11.291888;12.095000;12.086000;11.276000;13.456000;Wide
00000000007838835713;2021-04-30;11:12:24;266641684128;1739;1;Succeeded;43.616965;43.616962;1.464987;Canvas;8_pass;Winder;66.566868;82.261284;103.442803;96.194853;71.313000;83.355000;104.446000;114.635000;Wide
00000000007849165960;2021-04-30;13:56:58;276515598177;1740;1;Succeeded;23.564511;23.564510;1.464987;Canvas;8_pass;Winder;34.981010;36.363562;56.316671;44.858611;37.475000;36.847000;56.862000;53.458000;Wide
00000000007864832012;2021-05-03;16:36:20;545271418832;1741;1;Succeeded;12.027281;12.027281;1.464987;Canvas;8_pass;Winder;21.176502;21.513642;29.956619;31.210717;22.686000;23.826000;30.247000;37.193000;Wide
00000000007874952834;2021-05-04;09:30:12;606103057828;1742;1;Succeeded;19.063631;19.063630;1.279991;Heavy Paper;8_pass;Winder;11.456822;19.499945;18.096758;30.343046;12.273000;21.596000;18.272000;36.159000;None
00000000007881144609;2021-05-04;10:45:51;610641878431;1743;1;Succeeded;16.503227;16.503226;1.279991;Heavy Paper;8_pass;Winder;14.621731;22.734041;20.459595;43.268277;15.664000;25.177000;20.658000;51.562000;None
00000000007888668687;2021-05-04;12:13:15;615885205538;1744;1;Succeeded;20.127172;20.127171;1.279991;Heavy Paper;8_pass;Winder;17.906081;31.588526;31.816896;44.832150;19.182000;34.984000;32.125000;53.426000;None
00000000007895515079;2021-05-04;13:32:02;620612204726;1745;1;Succeeded;18.263023;18.263023;1.279991;Heavy Paper;8_pass;Winder;13.848939;28.630828;27.604261;39.036205;14.836000;31.708000;27.872000;46.519000;None
00000000007902458776;2021-05-04;14:53:58;625527954654;1746;1;Succeeded;18.263023;18.263023;1.279991;Heavy Paper;8_pass;Winder;16.574672;29.905160;25.562499;51.224997;17.756000;33.119000;25.810000;61.044000;None
00000000007904944686;2021-05-04;15:25:15;627404929061;1747;1;Succeeded;6.582410;6.582410;1.279991;Heavy Paper;8_pass;Winder;4.224078;8.213589;8.413537;13.404545;4.525000;9.096000;8.495000;15.974000;None
00000000007916065052;2021-05-04;17:31:10;634959865132;1754;1;Succeeded;21.640842;21.640842;1.315043;Paper;8_pass_pinCure;Winder;44.548470;48.030373;48.725052;46.544910;47.724000;53.193000;49.197000;55.467000;Wide
00000000007921042882;2021-05-05;07:51:36;686584945820;1755;1;Succeeded;5.192395;5.192395;1.315043;Paper;8_pass_pinCure;Winder;9.967449;10.801878;12.770004;9.487460;10.678000;11.963000;12.893000;11.306000;Wide
00000000007922356376;2021-05-05;08:14:26;687955222237;1756;1;Succeeded;2.892425;2.892425;1.464987;Canvas;8_pass;Winder;2.787532;3.421903;5.171326;4.196368;2.986000;3.789000;5.221000;5.000000;Wide
00000000007936580628;2021-05-05;11:01:31;697979862247;1757;1;Succeeded;32.485880;32.485880;1.464987;Canvas;8_pass;Winder;53.920414;59.905904;83.291230;70.377565;57.764000;66.345000;84.099000;83.868000;Wide
00000000007936638888;2021-05-05;11:03:05;698073862495;1757;2;Succeeded;0.342138;0.342137;1.464987;Canvas;8_pass;Winder;0.348290;0.353767;0.503924;0.622792;0.373000;0.391000;0.508000;0.742000;Wide
00000000007937000166;2021-05-05;11:13:37;698705680825;1758;1;Succeeded;0.620099;0.620099;1.464987;Canvas;8_pass;Winder;1.517137;1.432701;1.056657;4.836980;1.625000;1.586000;1.066000;5.764000;Wide
00000000007950523277;2021-05-05;17:27:53;721161421569;1759;1;Succeeded;28.728628;28.728626;1.464987;Canvas;8_pass;Winder;47.000735;55.425610;71.797548;73.888024;50.351000;61.383000;69.155000;88.052000;Wide
00000000007957918976;2021-05-06;08:07:25;773932454088;1760;1;Succeeded;9.492615;9.492615;1.315043;Paper;8_pass_pinCure;Winder;21.955757;20.936099;17.962865;26.631150;23.521000;23.186000;17.301000;31.736000;Wide
00000000007961739025;2021-05-06;08:52:40;776647676347;1761;1;Succeeded;8.572077;8.572077;1.464987;Canvas;8_pass;Winder;12.863845;15.387670;18.696171;20.397981;13.781000;17.041000;18.008000;24.308000;Wide
00000000007962324269;2021-05-06;08:59:53;777080675685;1761;2;Succeeded;1.581277;1.581277;1.464987;Canvas;8_pass;Winder;2.046196;2.232218;4.427052;4.081257;2.192000;2.472000;4.264000;4.863000;Wide
00000000007965048889;2021-05-06;09:40:59;779546369190;1762;1;Succeeded;5.882513;5.882513;1.464987;Canvas;8_pass;Winder;10.224669;8.759878;13.908693;9.843062;10.953000;9.701000;13.396000;11.729000;Wide
00000000007977610713;2021-05-06;11:52:31;787438368892;1762;2;Succeeded;28.854950;28.854950;1.464987;Canvas;8_pass;Winder;54.569694;52.811643;72.928013;72.018515;58.460000;58.488000;70.244000;85.824000;Wide
00000000007977768915;2021-05-06;11:55:07;787594369041;1762;3;Succeeded;0.572135;0.572133;1.464987;Canvas;8_pass;Winder;0.333959;0.399723;0.418842;1.153312;0.357000;0.442000;0.403000;1.374000;Wide
