ullid;date;time;LocalTime[us];EngineCycleId#;ImageId#;ImageResult$;ImageLengthAnnounced[m]#;ImageLength[m]#;ImageWidth[m]#;MediaType$;PrintMode$;Destination$;JettedInkCyan[ml]#;JettedInkMagenta[ml]#;JettedInkYellow[ml]#;JettedInkBlack[ml]#;AccountedInkCyan[ml]#;AccountedInkMagenta[ml]#;AccountedInkYellow[ml]#;AccountedInkBlack[ml]#;PaperStepMarker$
00000000007594538442;2021-04-21;15:16:28;2450170182572;1644;1;Succeeded;26.690743;26.690742;1.464987;Canvas;8_pass;Winder;43.583417;46.782663;60.782728;59.899681;50.443000;49.238000;66.617000;66.572000;Wide
00000000007597321897;2021-04-22;05:25:55;2501135737671;1645;1;Failed;1.830705;1.263396;1.464987;Canvas;8_pass;Winder;1.470382;1.910745;2.428481;3.062246;1.701000;1.936000;2.661000;3.403000;Wide
00000000007597801297;2021-04-22;05:40:04;2501985232459;1646;1;Succeeded;0.838242;0.838242;1.464987;Canvas;8_pass;Winder;0.841841;1.014922;1.427333;1.412440;0.974000;1.028000;1.564000;1.569000;Wide
00000000007597804366;2021-04-22;05:40:10;2501991387602;1646;2;Failed;0.417068;0.000000;1.464987;Canvas;8_pass;Winder;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wide
00000000007598047528;2021-04-22;05:44:09;2502230296615;1647;1;Succeeded;0.417068;0.417068;1.464987;Canvas;8_pass;Winder;0.714712;0.589361;0.590123;1.072020;0.827000;0.597000;0.646000;1.191000;Wide
00000000007604022679;2021-04-22;08:24:22;2511842590670;1653;1;Succeeded;7.083467;7.083467;1.545054;Paper;8_pass_pinCure;Winder;14.748666;20.046287;15.094093;14.738440;17.070000;20.312000;16.543000;16.380000;Wide
00000000007605657280;2021-04-22;08:42:13;2512914220166;1654;1;Succeeded;2.932218;2.932218;1.545054;Paper;8_pass_pinCure;Winder;5.089431;5.187771;4.986379;7.984566;5.890000;5.256000;5.465000;8.874000;Wide
00000000007609761717;2021-04-22;11:23:03;2522563111624;1655;1;Succeeded;8.319516;8.319516;1.464987;Canvas;8_pass;Winder;12.083454;14.682576;18.871120;19.336980;13.985000;14.877000;20.682000;21.491000;Wide
00000000007609896527;2021-04-22;11:25:44;2522725063578;1656;0;Succeeded;0.169333;0.169333;0.762000;Canvas;8_pass;Winder;0.106102;0.101775;0.099734;0.101885;0.122000;0.103000;0.109000;0.113000;Wide
00000000007609975119;2021-04-22;11:27:09;2522809864932;1657;0;Succeeded;0.169333;0.169333;0.762000;Canvas;4_pass;Winder;0.105873;0.101677;0.099691;0.101199;0.122000;0.103000;0.109000;0.112000;Wide
