ullid;date;time;LocalTime[us];EngineCycleId#;ImageId#;ImageResult$;ImageLengthAnnounced[m]#;ImageLength[m]#;ImageWidth[m]#;MediaType$;PrintMode$;Destination$;JettedInkCyan[ml]#;JettedInkMagenta[ml]#;JettedInkYellow[ml]#;JettedInkBlack[ml]#;AccountedInkCyan[ml]#;AccountedInkMagenta[ml]#;AccountedInkYellow[ml]#;AccountedInkBlack[ml]#;PaperStepMarker$
00000000006250174523;2021-03-15;23:15:11;1603235898883;1297;1;Succeeded;13.022834;13.022834;1.464987;Canvas;8_pass;Winder;23.041898;22.824872;33.757974;32.925700;21.094000;20.930000;34.659000;31.470000;Wide
00000000006251980457;2021-03-16;00:03:12;1606116531849;1298;1;Succeeded;4.467437;4.467437;1.279991;Heavy Paper;8_pass;Winder;1.475728;1.757703;1.560203;1.168062;1.351000;1.611000;1.601000;1.116000;None
00000000006253575506;2021-03-16;00:21:01;1607185531829;1298;2;Succeeded;4.467437;4.467437;1.279991;Heavy Paper;8_pass;Winder;5.668317;3.531501;10.796795;18.871181;5.189000;3.238000;11.085000;18.037000;None
00000000006255173155;2021-03-16;00:38:50;1608254531795;1298;3;Succeeded;4.467437;4.467437;1.279991;Heavy Paper;8_pass;Winder;6.933158;5.421665;5.077947;6.585239;6.347000;4.971000;5.213000;6.294000;None
00000000006256703563;2021-03-16;00:56:39;1609323532137;1298;4;Succeeded;4.467437;4.467437;1.279991;Heavy Paper;8_pass;Winder;3.034547;4.004587;2.995471;8.604923;2.778000;3.672000;3.075000;8.224000;None
00000000006257522894;2021-03-16;01:18:50;1610654400249;1299;1;Succeeded;1.944243;1.944243;1.279991;Heavy Paper;8_pass;Winder;0.942397;1.186377;0.633580;0.338548;0.862000;1.087000;0.650000;0.323000;None
00000000006260175392;2021-03-16;02:07:32;1613576522244;1300;1;Cancelled;18.140045;4.946142;1.315043;Paper;8_pass_pinCure;Winder;7.843158;7.857332;9.048552;6.336364;7.180000;7.205000;9.290000;6.056000;Wide
00000000006270461144;2021-03-16;04:22:01;1621645236132;1306;1;Succeeded;18.140045;18.140045;1.315043;Paper;8_pass_pinCure;Winder;34.073957;34.331578;36.421597;34.963232;31.194000;31.482000;37.394000;33.417000;Wide
00000000006270834064;2021-03-16;04:33:19;1622323047873;1307;1;Succeeded;0.582126;0.582126;1.315043;Paper;8_pass_pinCure;Winder;0.139343;0.217330;0.205917;0.286160;0.127000;0.199000;0.211000;0.273000;Wide
00000000006271456409;2021-03-16;05:05:03;1624227472203;1308;1;Succeeded;1.082167;1.082167;1.464987;Canvas;8_pass;Winder;1.186078;1.194361;1.776448;1.588595;1.085000;1.095000;1.823000;1.518000;Wide
