ullid;date;time;LocalTime[us];EngineCycleId#;ImageId#;ImageResult$;ImageLengthAnnounced[m]#;ImageLength[m]#;ImageWidth[m]#;MediaType$;PrintMode$;Destination$;JettedInkCyan[ml]#;JettedInkMagenta[ml]#;JettedInkYellow[ml]#;JettedInkBlack[ml]#;AccountedInkCyan[ml]#;AccountedInkMagenta[ml]#;AccountedInkYellow[ml]#;AccountedInkBlack[ml]#;PaperStepMarker$
00000000001733494412;2020-12-15;14:46:19;237240368470;422;1;Failed;26.994231;1.367127;1.225000;Canvas;4_pass;Winder;1.702907;2.389720;4.014061;2.534686;1.509000;2.134000;4.066000;2.461000;Wide
00000000001733494416;2020-12-15;14:46:19;237240368561;422;2;Failed;11.693144;0.000000;1.225000;Canvas;4_pass;Winder;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wide
00000000001733651688;2020-12-15;15:16:40;239061383372;423;1;Cancelled;26.994231;0.000000;1.225000;Canvas;4_pass;Winder;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wide
00000000001733710027;2020-12-15;15:22:41;239422704339;424;1;Cancelled;26.994231;0.000000;1.225000;Canvas;4_pass;Winder;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wide
00000000001733770890;2020-12-15;15:30:31;239893110289;425;1;Cancelled;26.994231;0.000000;1.225000;Canvas;4_pass;Winder;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wide
00000000001734675185;2020-12-15;15:44:18;240719546624;426;1;Cancelled;26.994231;4.923254;1.225000;Canvas;4_pass;Winder;5.600341;7.630325;11.026492;8.019802;4.963000;6.813000;11.170000;7.788000;Wide
00000000001734675190;2020-12-15;15:44:18;240719546751;426;2;Cancelled;11.693144;0.000000;1.225000;Canvas;4_pass;Winder;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wide
00000000001735589770;2020-12-15;16:40:35;244096256916;427;1;Cancelled;26.994231;3.702530;1.225000;Canvas;4_pass;Winder;5.003230;6.473424;7.963227;5.822174;4.434000;5.780000;8.067000;5.653000;Wide
00000000001747695278;2020-12-16;11:00:09;310069329876;428;1;Succeeded;19.873214;19.873214;1.325033;Paper;6_pass_pinCure;Winder;26.065305;16.632241;10.063361;26.180682;23.101000;14.852000;10.195000;25.424000;Normal
00000000001748736706;2020-12-16;11:16:14;311034000187;429;1;Succeeded;3.260048;3.260048;1.325033;Paper;6_pass_pinCure;Winder;4.021031;8.258866;7.021824;5.682158;3.563000;7.375000;7.113000;5.517000;Normal
00000000001749056921;2020-12-16;11:57:54;313534294976;431;1;Cancelled;12.642257;0.000000;1.325033;Paper;8_pass_pinCure;Winder;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Normal
