ullid;date;time;LocalTime[us];EngineCycleId#;ImageId#;ImageResult$;ImageLengthAnnounced[m]#;ImageLength[m]#;ImageWidth[m]#;MediaType$;PrintMode$;Destination$;JettedInkCyan[ml]#;JettedInkMagenta[ml]#;JettedInkYellow[ml]#;JettedInkBlack[ml]#;AccountedInkCyan[ml]#;AccountedInkMagenta[ml]#;AccountedInkYellow[ml]#;AccountedInkBlack[ml]#;PaperStepMarker$
00000000009312860705;2021-06-21;06:02:49;1035011366839;2157;1;Cancelled;3.957278;1.042458;1.315043;Paper;8_pass_pinCure;Winder;2.978084;3.379129;1.896605;1.688053;3.419000;3.394000;1.975000;1.871000;Wide
00000000009315162584;2021-06-21;06:33:33;1036855526614;2161;1;Succeeded;3.957278;3.957278;1.315043;Paper;8_pass_pinCure;Winder;9.788318;10.616518;6.027499;9.770239;11.239000;10.664000;6.279000;10.832000;Wide
00000000009321069052;2021-06-21;07:29:06;1040188527181;2161;2;Succeeded;11.692678;11.692678;1.315043;Paper;8_pass_pinCure;Winder;19.161507;22.487379;17.040914;20.547329;22.003000;22.588000;17.753000;22.780000;Wide
00000000009323378949;2021-06-21;08:03:09;1042231311673;2162;1;Succeeded;4.392295;4.392295;1.082887;Paper;8_pass_pinCure;Winder;12.654482;9.375270;8.809899;9.106699;14.531000;9.417000;9.178000;10.096000;Wide
00000000009326920896;2021-06-21;08:52:31;1045193279336;2163;1;Succeeded;9.724644;9.724644;1.279991;Heavy Paper;8_pass;Winder;4.864989;7.548757;6.252870;20.638479;5.586000;7.582000;6.514000;22.881000;None
00000000009327795440;2021-06-21;09:16:20;1046622976682;2164;1;Succeeded;1.453176;1.453176;1.315043;Paper;8_pass_pinCure;Winder;2.757177;5.665630;4.746550;3.514159;3.166000;5.691000;4.944000;3.896000;Wide
00000000009332306035;2021-06-21;10:23:04;1050626313225;2165;1;Succeeded;10.306219;10.306219;1.464987;Canvas;8_pass;Winder;23.990532;18.474284;27.696265;28.838486;27.548000;18.557000;28.853000;31.973000;Wide
00000000009336938061;2021-06-21;11:33:49;1054871088619;2166;1;Succeeded;10.459762;10.459762;1.464987;Canvas;8_pass;Winder;18.426872;16.358459;18.902022;26.771354;21.159000;16.432000;19.692000;29.681000;Wide
00000000009343669830;2021-06-22;06:19:06;1122386502635;2167;1;Succeeded;7.176516;7.176516;1.315043;Paper;8_pass_pinCure;Winder;9.027037;11.878033;14.712428;6.120443;9.810000;11.931000;15.842000;6.785000;Wide
00000000009354453935;2021-06-22;08:33:13;1130433980432;2168;1;Failed;33.639167;28.349362;1.279991;Heavy Paper;8_pass;Winder;16.223487;29.889548;33.277740;37.064416;17.631000;30.024000;35.833000;41.093000;None
00000000009354453939;2021-06-22;08:33:13;1130433980740;2168;2;Failed;2.932218;0.000000;1.279991;Heavy Paper;8_pass;Winder;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;None
00000000009354511224;2021-06-22;08:40:35;1130876042941;2169;1;Cancelled;2.932218;0.000000;1.279991;Heavy Paper;8_pass;Winder;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;None
00000000009354511227;2021-06-22;08:40:35;1130876043057;2169;2;Cancelled;1.547199;0.000000;1.279991;Heavy Paper;8_pass;Winder;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;None
00000000009355831592;2021-06-22;09:03:18;1132238031593;2173;1;Succeeded;2.932218;2.932218;1.279991;Heavy Paper;8_pass;Winder;2.251687;3.605142;5.974428;6.982669;2.447000;3.621000;6.433000;7.741000;None
00000000009356382127;2021-06-22;09:09:28;1132609031105;2173;2;Succeeded;1.547199;1.547199;1.279991;Heavy Paper;8_pass;Winder;1.882720;2.968680;1.654181;4.144630;2.046000;2.982000;1.781000;4.595000;None
00000000009357609340;2021-06-22;09:23:57;1133477031264;2173;3;Succeeded;3.626231;3.626231;1.279991;Heavy Paper;8_pass;Winder;3.196036;4.500223;5.206090;5.865478;3.473000;4.520000;5.605000;6.503000;None
00000000009384557091;2021-06-22;15:15:46;1154585860574;2174;1;Failed;57.869455;57.869452;1.464987;Canvas;8_pass;Winder;98.057251;104.112057;130.998098;133.663031;106.568000;104.580000;141.058000;148.192000;Wide
00000000009396232312;2021-06-23;07:08:28;1211746976097;2175;1;Failed;22.853777;18.774113;1.464987;Canvas;8_pass;Winder;37.452407;36.335415;51.794381;56.809991;40.703000;36.498000;55.772000;62.985000;Wide
