ullid;date;time;LocalTime[us];EngineCycleId#;ImageId#;ImageResult$;ImageLengthAnnounced[m]#;ImageLength[m]#;ImageWidth[m]#;MediaType$;PrintMode$;Destination$;JettedInkCyan[ml]#;JettedInkMagenta[ml]#;JettedInkYellow[ml]#;JettedInkBlack[ml]#;AccountedInkCyan[ml]#;AccountedInkMagenta[ml]#;AccountedInkYellow[ml]#;AccountedInkBlack[ml]#;PaperStepMarker$
00000000007248615621;2021-04-11;22:41:11;1612869181805;1560;1;Succeeded;9.074404;9.074404;1.464987;Canvas;8_pass;Winder;12.930328;14.721494;19.493633;17.442704;13.822000;13.630000;18.916000;19.725000;Wide
00000000007256056330;2021-04-12;00:18:53;1618731100564;1561;1;Succeeded;18.092335;18.092335;1.464987;Canvas;8_pass;Winder;28.170537;33.311339;42.431307;47.377757;30.114000;30.842000;41.175000;53.579000;Wide
00000000007262179515;2021-04-12;02:27:37;1626454902226;1567;1;Succeeded;8.276548;8.276548;1.315043;Paper;8_pass_pinCure;Winder;25.545002;32.786840;21.533042;20.963161;27.307000;30.357000;20.895000;23.707000;Wide
00000000007272580193;2021-04-12;04:25:36;1633534274634;1568;1;Succeeded;20.238297;20.238297;1.545054;Paper;8_pass_pinCure;Winder;31.012980;35.428880;39.319654;32.079368;33.152000;32.803000;38.155000;36.278000;Wide
00000000007277892989;2021-04-12;05:27:39;1637257158952;1569;1;Succeeded;10.163641;10.163641;1.545054;Paper;8_pass_pinCure;Winder;18.615069;23.314542;23.223768;32.495105;19.899000;21.586000;22.536000;36.748000;Wide
00000000007292284925;2021-04-12;08:17:17;1647434386004;1570;1;Succeeded;35.016313;35.016311;1.464987;Canvas;8_pass;Winder;48.151130;55.448026;77.916622;64.796673;51.473000;51.339000;75.610000;73.278000;Wide
00000000007316193810;2021-04-12;12:53:18;1663995072681;1571;1;Succeeded;56.967924;56.967921;1.464987;Canvas;8_pass;Winder;101.848269;113.790271;158.593006;141.196271;108.875000;105.358000;157.926000;159.678000;Wide
00000000007331579807;2021-04-13;00:31:00;1705856843701;1572;1;Succeeded;33.474406;33.474404;1.464987;Canvas;8_pass;Winder;54.586510;55.517102;78.373045;67.238530;58.352000;51.403000;78.043000;76.040000;Wide
00000000007343072581;2021-04-13;03:09:52;1715387926696;1578;1;Succeeded;19.994245;19.994245;1.315043;Paper;8_pass_pinCure;Winder;39.602283;40.941965;42.278628;34.401364;42.334000;43.091000;42.101000;38.904000;Wide
00000000007343228180;2021-04-13;03:12:22;1715537925893;1578;2;Succeeded;0.532130;0.532130;1.315043;Paper;8_pass_pinCure;Winder;0.172751;0.135646;0.060209;0.190801;0.184000;0.142000;0.059000;0.215000;Wide
00000000007356201353;2021-04-13;05:57:54;1725470301826;1579;1;Succeeded;31.275443;31.275442;1.464987;Canvas;8_pass;Winder;50.103783;55.164824;72.847346;56.894625;53.560000;58.060000;72.541000;64.342000;Wide
00000000007365579224;2021-04-13;08:40:43;1735239333505;1580;1;Succeeded;21.867326;21.867325;1.464987;Canvas;8_pass;Winder;33.701357;39.562958;49.644094;54.351513;36.026000;41.640000;49.435000;61.466000;Wide
00000000007367916003;2021-04-13;10:07:05;1740421294608;1581;1;Succeeded;4.930055;4.930055;1.464987;Canvas;8_pass;Winder;10.522863;6.751571;10.825869;12.052327;11.248000;7.106000;10.780000;13.629000;Wide
00000000007377170805;2021-04-13;23:46:49;1789604185710;1582;1;Succeeded;17.428718;17.428717;1.464987;Canvas;8_pass;Winder;26.006954;33.224317;41.707797;38.165996;27.801000;34.968000;41.532000;40.528000;Wide
00000000007384923146;2021-04-14;02:15:40;1798534369240;1588;1;Succeeded;11.411754;11.411754;1.315043;Paper;8_pass_pinCure;Winder;18.184245;20.967924;25.101418;20.965284;19.438000;22.068000;24.995000;22.263000;Wide
00000000007385147447;2021-04-14;02:18:44;1798718369270;1588;2;Succeeded;0.636101;0.636101;1.315043;Paper;8_pass_pinCure;Winder;1.129417;1.220109;1.505862;0.796508;1.207000;1.284000;1.499000;0.845000;Wide
00000000007386846607;2021-04-14;03:48:37;1804111088032;1589;1;Succeeded;3.232319;3.232319;1.464987;Canvas;8_pass;Winder;5.343097;3.796027;6.559192;4.171855;5.711000;3.995000;6.531000;4.430000;Wide
00000000007396463083;2021-04-14;05:45:04;1811098060556;1590;1;Succeeded;23.434590;23.434589;1.464987;Canvas;8_pass;Winder;33.263062;45.580548;64.126412;48.256448;35.558000;47.973000;63.857000;51.243000;Wide
00000000007404510503;2021-04-14;07:42:46;1818160208482;1591;1;Succeeded;19.201088;19.201087;1.464987;Canvas;8_pass;Winder;29.000157;35.714952;47.111170;45.108690;31.001000;37.589000;46.913000;47.900000;Wide
00000000007412303399;2021-04-14;23:37:48;1875460945183;1592;1;Succeeded;13.070586;13.070586;1.464987;Canvas;8_pass;Winder;20.317937;22.434218;26.990301;29.913293;21.719000;23.612000;26.876000;31.764000;Wide
00000000007419632156;2021-04-15;01:57:07;1883820264113;1598;1;Succeeded;10.626683;10.626683;1.315043;Paper;8_pass_pinCure;Winder;18.007190;19.984283;20.107157;13.690712;19.249000;21.033000;20.022000;14.538000;Wide
00000000007429200951;2021-04-15;04:05:29;1891521354510;1599;1;Succeeded;22.964352;22.964351;1.464987;Canvas;8_pass;Winder;33.315787;38.847917;51.569523;44.230222;35.614000;40.887000;51.352000;46.968000;Wide
00000000007436846177;2021-04-15;06:33:58;1900431172927;1600;1;Succeeded;17.843796;17.843796;1.464987;Canvas;8_pass;Winder;30.730567;36.509358;42.609631;44.946517;32.850000;38.426000;42.430000;47.728000;Wide
00000000007444971694;2021-04-15;23:28:47;1961318709025;1601;1;Succeeded;12.881991;12.881991;1.464987;Canvas;8_pass;Winder;18.863548;23.688040;28.058349;29.215101;20.165000;24.931000;27.940000;31.023000;Wide
00000000007449750285;2021-04-16;01:39:43;1969173975563;1607;1;Succeeded;5.262372;5.262372;1.315043;Paper;8_pass_pinCure;Winder;8.206718;8.790654;9.545072;5.346919;8.772000;9.252000;9.504000;5.677000;Wide
00000000007450650785;2021-04-16;02:01:07;1970458225028;1608;1;Succeeded;1.902206;1.902206;1.464987;Canvas;8_pass;Winder;1.695072;2.124187;3.621838;2.714503;1.812000;2.235000;3.606000;2.882000;Wide
00000000007459457115;2021-04-16;03:42:37;1976548380801;1609;1;Succeeded;20.954026;20.954025;1.464987;Canvas;8_pass;Winder;39.890937;43.929429;62.471049;48.895981;42.643000;46.235000;62.208000;51.922000;Wide
00000000007465150224;2021-04-16;06:59:51;1988381776461;1610;1;Succeeded;12.112879;12.112879;1.464987;Canvas;8_pass;Winder;17.142576;18.599630;26.916278;29.333305;18.325000;19.576000;26.803000;31.149000;Wide
00000000007476401580;2021-04-19;06:32:05;2245910394480;1614;1;Succeeded;1.452160;1.452160;1.315043;Paper;8_pass_pinCure;Winder;1.018129;1.596050;1.882186;1.386594;1.088000;1.679000;1.874000;1.472000;Wide
00000000007476697306;2021-04-19;06:35:49;2246134394689;1614;2;Succeeded;0.782108;0.782108;1.315043;Paper;8_pass_pinCure;Winder;3.496204;3.655680;2.247240;4.717616;3.737000;3.847000;2.237000;5.009000;Wide
00000000007477233771;2021-04-19;07:00:05;2247591221915;1615;1;Cancelled;18.087086;0.709591;1.545054;Paper;8_pass_pinCure;Winder;0.493319;1.727008;2.364827;0.546429;0.527000;1.817000;2.354000;0.580000;Wide
00000000007485013811;2021-04-19;08:47:10;2254015623423;1621;1;Failed;18.087086;11.203728;1.545054;Paper;8_pass_pinCure;Winder;15.925583;19.448722;20.855008;16.245195;17.024000;20.469000;20.767000;17.250000;Wide
00000000007489013899;2021-04-19;09:40:35;2257220202800;1626;1;Succeeded;7.312448;7.312448;1.545054;Paper;8_pass_pinCure;Winder;13.630088;14.379070;13.771239;22.963802;14.570000;15.133000;13.713000;24.385000;Wide
00000000007489291413;2021-04-19;09:44:42;2257467202102;1626;2;Succeeded;0.782108;0.782108;1.545054;Paper;8_pass_pinCure;Winder;3.097394;2.935310;2.169909;2.363206;3.311000;3.089000;2.160000;2.509000;Wide
00000000007500947051;2021-04-19;12:10:33;2266218686519;1627;1;Succeeded;29.705935;29.705933;1.464987;Canvas;8_pass;Winder;48.899249;52.614370;76.046560;57.856733;52.273000;55.376000;83.347000;61.438000;Wide
00000000007516692948;2021-04-19;15:25:30;2277915670411;1628;1;Succeeded;39.894976;39.894974;1.464987;Canvas;8_pass;Winder;67.455547;75.231608;103.569865;88.694648;78.073000;79.181000;113.512000;94.184000;Wide
00000000007525187738;2021-04-20;06:41:03;2332847142493;1629;1;Succeeded;11.456755;11.456755;1.545054;Paper;8_pass_pinCure;Winder;19.347933;22.995704;26.106318;16.910933;22.393000;24.202000;28.612000;17.957000;Wide
00000000007529097860;2021-04-20;07:19:28;2335152142020;1629;2;Succeeded;7.312448;7.312448;1.545054;Paper;8_pass_pinCure;Winder;14.871301;16.364617;15.695479;23.746833;17.212000;17.223000;17.202000;25.216000;Wide
00000000007535776525;2021-04-20;08:39:27;2339951296006;1630;1;Succeeded;12.532826;12.532826;1.315043;Paper;8_pass_pinCure;Winder;36.578156;48.532898;35.737459;36.742247;42.335000;51.080000;39.168000;39.016000;Wide
00000000007543208077;2021-04-20;11:13:25;2349188780987;1631;1;Failed;19.464401;17.059062;1.464987;Canvas;8_pass;Winder;21.465242;24.369614;37.211863;28.090274;24.843000;25.649000;40.784000;29.829000;Wide
00000000007546671853;2021-04-20;12:07:39;2352442987933;1632;1;Succeeded;7.912608;7.912608;1.464987;Canvas;8_pass;Winder;16.280823;14.612468;21.121632;19.508979;18.843000;15.379000;23.149000;20.716000;Wide
00000000007547928320;2021-04-20;12:22:33;2353336987725;1632;2;Succeeded;3.272451;3.272451;1.464987;Canvas;8_pass;Winder;4.734865;5.438508;7.927708;6.933403;5.480000;5.724000;8.688000;7.362000;Wide
00000000007548472899;2021-04-20;12:42:24;2354527568159;1633;1;Succeeded;0.742103;0.742103;1.545054;Paper;8_pass_pinCure;Winder;0.194937;0.291832;0.434191;0.204705;0.225000;0.307000;0.475000;0.217000;Wide
00000000007560440202;2021-04-20;15:13:14;2363577660496;1634;1;Succeeded;27.704542;27.704541;1.464987;Canvas;8_pass;Winder;46.363938;51.753107;68.065641;76.046857;53.661000;54.470000;74.599000;80.754000;Wide
00000000007562844947;2021-04-21;05:17:54;2414257115038;1635;1;Succeeded;0.417068;0.417068;1.464987;Canvas;8_pass;Winder;0.264210;0.278468;0.426136;0.531855;0.305000;0.293000;0.467000;0.564000;Wide
00000000007563086231;2021-04-21;05:39:45;2415567349412;1639;1;Failed;7.206488;0.000000;1.545054;Paper;8_pass_pinCure;Winder;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wide
00000000007566715054;2021-04-21;06:28:06;2418468560435;1640;1;Succeeded;7.206488;7.206488;1.545054;Paper;8_pass_pinCure;Winder;13.426032;15.360268;15.365641;14.564801;15.539000;16.166000;16.840000;15.466000;Wide
00000000007567093848;2021-04-21;06:40:45;2419227927977;1641;1;Succeeded;0.532130;0.532130;1.315043;Paper;8_pass_pinCure;Winder;0.314261;0.400591;0.449931;0.437323;0.363000;0.421000;0.493000;0.464000;Wide
00000000007569722656;2021-04-21;07:19:46;2421568748405;1642;1;Succeeded;6.444657;6.444657;1.464987;Canvas;8_pass;Winder;9.339127;11.507167;14.626054;14.030284;10.809000;12.111000;16.030000;14.898000;Wide
00000000007582398785;2021-04-21;11:05:27;2435109689485;1643;1;Succeeded;29.285015;29.285013;1.464987;Canvas;8_pass;Winder;48.766601;54.844295;79.764326;63.857986;56.442000;57.723000;87.421000;67.810000;Wide
