ullid;date;time;LocalTime[us];EngineCycleId#;ImageId#;ImageResult$;ImageLengthAnnounced[m]#;ImageLength[m]#;ImageWidth[m]#;MediaType$;PrintMode$;Destination$;JettedInkCyan[ml]#;JettedInkMagenta[ml]#;JettedInkYellow[ml]#;JettedInkBlack[ml]#;AccountedInkCyan[ml]#;AccountedInkMagenta[ml]#;AccountedInkYellow[ml]#;AccountedInkBlack[ml]#;PaperStepMarker$
00000000008460396695;2021-05-19;14:08:24;1371511114;1879;0;Succeeded;0.169333;0.169333;0.762000;Canvas;8_pass;Winder;0.106085;0.101765;0.099738;0.101882;0.095000;0.098000;0.090000;0.100000;Wide
00000000008460474810;2021-05-19;14:09:48;1455587815;1880;0;Succeeded;0.169333;0.169333;0.762000;Canvas;4_pass;Winder;0.105999;0.101483;0.099681;0.101261;0.095000;0.097000;0.090000;0.100000;Wide
00000000008460939048;2021-05-19;14:15:03;1770432096;1881;0;Succeeded;0.723307;0.723307;1.104900;Canvas;8_pass_pinCure;Winder;1.610265;1.986845;2.030908;1.300219;1.450000;1.914000;1.843000;1.287000;Wide
00000000008461128987;2021-05-19;14:26:06;2434289194;1882;0;Succeeded;0.169333;0.169333;0.762000;Monomeric Vinyl;8_pass;Freefall;0.106094;0.101763;0.099792;0.100573;0.095000;0.098000;0.090000;0.099000;Normal
00000000008461206942;2021-05-19;14:27:30;2517414608;1883;0;Succeeded;0.169333;0.169333;0.762000;Monomeric Vinyl;4_pass;Freefall;0.106012;0.101394;0.099735;0.100597;0.095000;0.097000;0.090000;0.099000;Normal
00000000008461592322;2021-05-19;14:31:53;2780975162;1884;0;Cancelled;0.723307;0.602064;1.104900;Monomeric Vinyl;8_pass_pinCure;Freefall;1.272125;1.557962;1.516280;1.056445;1.146000;1.501000;1.376000;1.045000;Normal
00000000008461953998;2021-05-19;14:49:49;3857147675;1888;0;Succeeded;0.169333;0.169333;0.762000;Monomeric Vinyl;8_pass;Freefall;0.106043;0.101830;0.099827;0.100563;0.095000;0.098000;0.090000;0.099000;Normal
00000000008462024439;2021-05-19;14:50:57;3924372520;1889;0;Succeeded;0.169333;0.169333;0.762000;Monomeric Vinyl;4_pass;Freefall;0.105905;0.101746;0.099738;0.100536;0.095000;0.098000;0.090000;0.099000;Normal
00000000008462436707;2021-05-19;14:55:48;4215997814;1890;0;Succeeded;0.723307;0.723307;1.104900;Monomeric Vinyl;8_pass_pinCure;Freefall;1.610235;1.987654;2.031898;1.294103;1.450000;1.915000;1.843000;1.281000;Normal
00000000008463062890;2021-05-19;15:58:39;7986500080;1891;1;Succeeded;0.466640;0.466640;1.444978;Polymeric / cast Vinyl;8_pass_pinCure;Winder;0.847935;0.618478;0.705938;0.811675;0.763000;0.596000;0.640000;0.803000;Normal
00000000008463412103;2021-05-19;16:06:09;8437121475;1892;1;Succeeded;0.466640;0.466640;1.444978;Polymeric / cast Vinyl;8_pass_pinCure;Winder;0.847951;0.618546;0.705940;0.811679;0.763000;0.596000;0.640000;0.803000;Normal
00000000008463694936;2021-05-19;16:16:06;9033686754;1896;0;Succeeded;0.169333;0.169333;0.762000;Polymeric / cast Vinyl;8_pass;Winder;0.106078;0.101792;0.099836;0.100532;0.095000;0.098000;0.090000;0.099000;Normal
00000000008463767297;2021-05-19;16:17:14;9101707329;1897;0;Succeeded;0.169333;0.169333;0.762000;Polymeric / cast Vinyl;4_pass;Winder;0.105985;0.101673;0.099765;0.100519;0.095000;0.097000;0.090000;0.099000;Normal
00000000008464190916;2021-05-19;16:22:07;9394413849;1898;0;Succeeded;0.723307;0.723307;1.104900;Polymeric / cast Vinyl;8_pass_pinCure;Winder;1.609781;1.986700;2.031934;1.294103;1.450000;1.914000;1.843000;1.281000;Normal
00000000008472934436;2021-05-20;10:45:03;75568731664;1899;1;Cancelled;16.653087;10.741364;1.295005;Paper;8_pass_pinCure;Winder;11.803558;10.795956;11.060629;10.297181;10.633000;10.405000;10.037000;10.991000;Wide
00000000008481473162;2021-05-20;12:14:34;80940509778;1907;1;Failed;16.653087;16.375761;1.295005;Paper;8_pass_pinCure;Winder;18.815657;17.201758;16.800468;15.562095;16.951000;16.579000;15.246000;16.610000;Wide
00000000008481869313;2021-05-20;12:36:09;82235584231;1908;1;Succeeded;0.462111;0.462111;1.295005;Paper;8_pass_pinCure;Winder;0.226322;0.775501;0.354981;0.391577;0.203000;0.747000;0.322000;0.417000;Wide
00000000008486304332;2021-05-20;13:36:16;85842278113;1914;1;Succeeded;9.941560;9.941560;1.444964;Canvas;8_pass;Winder;12.746751;18.379922;23.164865;20.811790;11.483000;17.714000;21.022000;22.214000;Wide
00000000008486498696;2021-05-20;13:39:58;86064261488;1915;1;Succeeded;0.308060;0.308060;1.444964;Canvas;8_pass;Winder;0.089593;0.187958;0.364606;0.333013;0.080000;0.181000;0.330000;0.355000;Wide
00000000008493849334;2021-05-20;21:00:22;112487044349;1916;1;Succeeded;16.020415;16.020414;1.279991;Heavy Paper;8_pass;Winder;3.573797;5.832703;6.125433;2.737183;3.219000;5.621000;5.558000;2.921000;None
00000000008500119901;2021-05-20;22:13:20;116865631311;1917;1;Succeeded;16.020415;16.020414;1.279991;Heavy Paper;8_pass;Winder;3.573678;5.833287;6.125463;2.737162;3.219000;5.622000;5.558000;2.921000;None
00000000008506378071;2021-05-20;23:25:03;121168317491;1918;1;Succeeded;16.020415;16.020414;1.279991;Heavy Paper;8_pass;Winder;3.573878;5.833614;6.125421;2.737150;3.219000;5.622000;5.558000;2.921000;None
00000000008512645193;2021-05-21;00:34:03;125308192896;1919;1;Succeeded;16.020415;16.020414;1.279991;Heavy Paper;8_pass;Winder;3.573700;5.833562;6.125418;2.737194;3.219000;5.622000;5.558000;2.921000;None
00000000008518928817;2021-05-21;01:45:24;129588823289;1920;1;Succeeded;16.020415;16.020414;1.279991;Heavy Paper;8_pass;Winder;3.573644;5.833329;6.125430;2.737060;3.219000;5.622000;5.558000;2.921000;None
00000000008524450535;2021-05-21;03:16:28;135053208621;1926;1;Succeeded;7.553537;7.553537;1.315043;Paper;8_pass_pinCure;Winder;12.973776;15.196610;14.692764;12.292120;11.688000;14.646000;13.333000;13.120000;Wide
00000000008535861630;2021-05-21;09:34:05;157709730116;1927;1;Succeeded;23.334557;23.334557;1.464987;Canvas;8_pass;Winder;34.211063;37.633234;60.243829;49.727675;30.820000;36.270000;54.671000;53.079000;Wide
00000000008544599451;2021-05-21;11:00:38;162902729173;1927;2;Succeeded;18.981462;18.981461;1.464987;Canvas;8_pass;Winder;31.962327;35.883226;43.605417;44.120065;28.794000;34.584000;39.571000;47.093000;Wide
00000000008556983429;2021-05-24;06:20:08;405266790881;1931;1;Failed;13.237930;4.838149;1.315043;Paper;8_pass_pinCure;Winder;11.480612;12.583052;8.732984;12.287998;10.342000;12.127000;7.925000;13.116000;Wide
00000000008556983433;2021-05-24;06:20:08;405266791106;1931;2;Failed;5.172329;0.000000;1.315043;Paper;8_pass_pinCure;Winder;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wide
00000000008561720016;2021-05-24;07:11:44;408363508006;1932;1;Succeeded;9.076648;9.076648;1.315043;Paper;8_pass_pinCure;Winder;23.723867;26.522774;24.153544;28.308098;21.372000;25.562000;21.919000;30.216000;Wide
