ullid;date;time;LocalTime[us];EngineCycleId#;ImageId#;ImageResult$;ImageLengthAnnounced[m]#;ImageLength[m]#;ImageWidth[m]#;MediaType$;PrintMode$;Destination$;JettedInkCyan[ml]#;JettedInkMagenta[ml]#;JettedInkYellow[ml]#;JettedInkBlack[ml]#;AccountedInkCyan[ml]#;AccountedInkMagenta[ml]#;AccountedInkYellow[ml]#;AccountedInkBlack[ml]#;PaperStepMarker$
00000000009551188269;2021-06-30;08:39:05;1821970118875;2245;1;Failed;0.738251;0.000000;1.514941;Canvas;8_pass;Winder;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wide
00000000009551598645;2021-06-30;08:50:47;1822671817899;2246;1;Succeeded;0.738251;0.738251;1.464987;Canvas;8_pass;Winder;0.700436;1.115879;0.919317;0.973119;0.761000;1.281000;0.989000;1.013000;Wide
00000000009568065880;2021-06-30;13:10:35;1838259052927;2247;1;Succeeded;36.524819;36.524817;1.514941;Canvas;8_pass;Winder;64.145278;71.808554;94.056864;84.354341;69.713000;82.486000;101.280000;87.880000;Wide
00000000009571367068;2021-07-01;05:47:32;1898074848903;2248;1;Succeeded;1.620181;1.620181;1.514941;Canvas;8_pass;Winder;1.828871;1.838596;3.550228;2.426133;1.987000;2.111000;3.632000;2.527000;Wide
00000000009571650302;2021-07-01;05:52:54;1898396447359;2249;1;Succeeded;0.512106;0.512106;1.514941;Canvas;8_pass;Winder;0.032085;0.032522;0.090097;0.126423;0.034000;0.037000;0.092000;0.131000;Wide
00000000009572715274;2021-07-01;06:41:11;1901293364086;2250;1;Cancelled;9.127617;1.569339;1.315043;Paper;8_pass_pinCure;Winder;1.731527;2.817204;3.214494;1.583115;1.881000;3.236000;3.289000;1.649000;Wide
00000000009577829842;2021-07-01;07:39:06;1904768423118;2258;1;Succeeded;9.127617;9.127617;1.315043;Paper;8_pass_pinCure;Winder;11.836106;14.929769;23.389812;10.275585;12.863000;17.149000;23.932000;10.705000;Wide
00000000009579194381;2021-07-01;09:22:38;1910980148161;2259;1;Succeeded;1.850178;1.850178;1.514941;Canvas;8_pass;Winder;2.122890;2.833808;3.536260;3.159446;2.307000;3.255000;3.618000;3.291000;Wide
00000000009579721074;2021-07-01;09:29:24;1911386148068;2259;2;Succeeded;1.454192;1.454192;1.514941;Canvas;8_pass;Winder;2.038152;2.756440;4.258121;4.975869;2.215000;3.166000;4.356000;5.183000;Wide
00000000009580438420;2021-07-01;10:36:00;1915382630208;2260;1;Succeeded;0.992166;0.992166;1.279991;Heavy Paper;8_pass;Winder;0.653004;1.584053;0.837319;3.664728;0.709000;1.819000;0.856000;3.817000;None
00000000009594159040;2021-07-01;13:31:23;1925905212277;2261;1;Succeeded;30.844744;30.844742;1.514941;Canvas;8_pass;Winder;48.668820;61.365771;88.110627;69.179792;52.893000;70.490000;90.154000;72.071000;Wide
00000000009597511798;2021-07-02;06:15:38;1986158541286;2262;1;Cancelled;4.606332;1.075182;1.315043;Paper;8_pass_pinCure;Winder;1.171638;1.061882;0.964481;1.492603;1.273000;1.219000;0.986000;1.554000;Wide
00000000009599990425;2021-07-02;06:51:51;1988331691020;2266;1;Succeeded;4.606332;4.606332;1.315043;Paper;8_pass_pinCure;Winder;4.968920;5.417478;6.363847;5.723201;5.400000;6.223000;6.511000;5.962000;Wide
00000000009614061366;2021-07-02;10:14:27;2000487804431;2267;1;Succeeded;32.440330;32.440328;1.514941;Canvas;8_pass;Winder;52.704227;54.720266;75.017688;73.271988;57.278000;62.857000;76.758000;76.334000;Wide
00000000009616810147;2021-07-02;12:14:30;2007690747745;2268;1;Succeeded;4.394115;4.394115;1.315043;Paper;8_pass_pinCure;Winder;2.398911;3.004383;4.274780;1.955631;2.607000;3.451000;4.373000;2.037000;Wide
00000000009626938204;2021-07-05;06:26:04;2245979143112;2269;1;Cancelled;16.703929;1.096221;1.315043;Paper;8_pass_pinCure;Winder;1.165993;1.571183;1.485643;1.362791;1.267000;1.804000;1.520000;1.609000;Wide
00000000009632860082;2021-07-05;07:34:56;2250110635409;2273;1;Failed;16.703929;11.278997;1.315043;Paper;8_pass_pinCure;Winder;19.707738;25.516600;24.635867;21.862715;21.418000;29.310000;25.207000;25.819000;Wide
00000000009636018844;2021-07-05;08:17:57;2252692021564;2274;1;Succeeded;6.052270;6.052270;1.315043;Paper;8_pass_pinCure;Winder;15.992027;13.727665;12.634097;13.481365;17.380000;15.768000;12.927000;15.921000;Wide
00000000009637685104;2021-07-05;08:44:29;2254283393605;2275;1;Succeeded;3.801576;3.801576;1.514941;Canvas;8_pass;Winder;6.002335;4.783018;6.575740;4.213646;6.523000;5.494000;6.728000;4.976000;Wide
00000000009640420643;2021-07-05;09:24:10;2256665012052;2276;1;Succeeded;7.340134;7.340134;1.279991;Heavy Paper;8_pass;Winder;11.593481;10.783066;13.948466;12.016070;12.599000;12.386000;14.272000;14.190000;None
00000000009647152456;2021-07-05;10:51:05;2261879954162;2277;1;Failed;16.701558;16.107451;1.514941;Canvas;8_pass;Winder;24.712874;26.517531;35.739816;32.740962;26.857000;30.460000;36.568000;38.667000;Wide
00000000009651941293;2021-07-05;12:13:39;2266833375076;2278;1;Succeeded;10.766425;10.766425;1.514941;Canvas;8_pass;Winder;16.711298;16.650868;23.105835;19.686131;18.161000;19.126000;23.641000;23.249000;Wide
00000000009652372882;2021-07-05;13:05:18;2269931982093;2279;1;Succeeded;0.308060;0.308060;1.514941;Canvas;8_pass;Winder;0.245959;0.358801;0.552377;0.356930;0.267000;0.412000;0.565000;0.421000;Wide
00000000009671263549;2021-07-05;19:28:58;2292952333493;2280;1;Succeeded;41.016767;41.016764;1.514941;Canvas;8_pass;Winder;62.997990;74.960557;105.174100;84.548655;71.181000;86.107000;107.614000;99.851000;Wide
00000000009677210470;2021-07-06;07:05:03;2334716055304;2281;1;Succeeded;7.654544;7.654544;1.315043;Paper;8_pass_pinCure;Winder;16.044375;16.280858;16.507570;16.345285;18.128000;18.701000;16.890000;19.303000;Wide
00000000009678694790;2021-07-06;07:27:28;2336061196109;2282;1;Succeeded;2.685288;2.685288;1.315043;Paper;8_pass_pinCure;Winder;2.280024;2.823437;3.898127;2.031242;2.576000;3.243000;3.988000;2.398000;Wide
