ullid;date;time;LocalTime[us];EngineCycleId#;ImageId#;ImageResult$;ImageLengthAnnounced[m]#;ImageLength[m]#;ImageWidth[m]#;MediaType$;PrintMode$;Destination$;JettedInkCyan[ml]#;JettedInkMagenta[ml]#;JettedInkYellow[ml]#;JettedInkBlack[ml]#;AccountedInkCyan[ml]#;AccountedInkMagenta[ml]#;AccountedInkYellow[ml]#;AccountedInkBlack[ml]#;PaperStepMarker$
00000000006551702404;2021-03-22;11:33:22;5366085428;1392;1;Succeeded;0.832146;0.832146;1.545054;Paper;8_pass_pinCure;Winder;1.683795;1.039140;1.116286;0.562671;1.700000;0.966000;0.967000;0.640000;Wide
00000000006551853298;2021-03-22;11:45:30;6094934936;1393;1;Cancelled;0.832062;0.497342;1.315043;Heavy Paper;2_pass;Winder;0.679834;0.580944;0.515396;0.357006;0.686000;0.540000;0.446000;0.406000;None
00000000006552278665;2021-03-22;11:52:32;6516156225;1394;1;Succeeded;0.832062;0.832062;1.315043;Heavy Paper;8_pass_pinCure;Winder;1.527215;0.939851;0.967556;0.603862;1.542000;0.873000;0.838000;0.687000;None
00000000006553135479;2021-03-22;12:17:00;7984024056;1399;1;Succeeded;0.832062;0.832062;1.315043;Heavy Paper;8_pass_pinCure;Winder;1.527222;0.939857;0.967524;0.610202;1.542000;0.873000;0.838000;0.694000;Wide
00000000006576965249;2021-03-22;16:54:59;24663604473;1400;1;Succeeded;55.447353;55.447350;1.464987;Canvas;8_pass;Winder;100.634677;107.569323;161.442902;129.811755;101.620000;120.854000;139.987000;147.686000;Wide
00000000006583047382;2021-03-22;23:31:48;48471474924;1401;1;Succeeded;12.162790;12.162790;1.464987;Canvas;8_pass;Winder;20.000172;20.945861;28.034950;32.165122;20.196000;23.532000;24.309000;36.594000;Wide
00000000006589818745;2021-03-23;00:55:08;53471211626;1402;1;Succeeded;16.215487;16.215486;1.464987;Canvas;8_pass;Winder;28.758903;29.503485;39.302859;40.816048;29.040000;33.147000;34.079000;46.436000;Wide
00000000006600534986;2021-03-23;03:24:39;62442891472;1408;1;Succeeded;19.287194;19.287194;1.315043;Paper;8_pass_pinCure;Winder;28.054554;36.764152;40.638725;31.671547;28.329000;41.304000;35.237000;36.032000;Wide
00000000006613916600;2021-03-23;06:13:21;72563988523;1409;1;Succeeded;33.865608;33.865607;1.464987;Canvas;8_pass;Winder;57.354615;64.378946;92.217671;76.212606;57.916000;72.329000;79.961000;86.707000;Wide
00000000006614683646;2021-03-23;08:19:28;80130603450;1410;1;Succeeded;0.417068;0.417068;1.464987;Canvas;8_pass;Winder;0.210200;0.240026;0.189171;0.131330;0.212000;0.269000;0.164000;0.149000;Wide
00000000006616308364;2021-03-23;09:47:38;85420587367;1414;1;Succeeded;3.269319;3.269319;1.279991;Heavy Paper;8_pass;Winder;3.629253;5.815589;5.334255;5.698046;3.664000;6.533000;4.625000;6.482000;None
