ullid;date;time;LocalTime[us];EngineCycleId#;ImageId#;ImageResult$;ImageLengthAnnounced[m]#;ImageLength[m]#;ImageWidth[m]#;MediaType$;PrintMode$;Destination$;JettedInkCyan[ml]#;JettedInkMagenta[ml]#;JettedInkYellow[ml]#;JettedInkBlack[ml]#;AccountedInkCyan[ml]#;AccountedInkMagenta[ml]#;AccountedInkYellow[ml]#;AccountedInkBlack[ml]#;PaperStepMarker$
00000000011175871138;2021-09-06;06:10:06;2396408659969;2828;2;Succeeded;1.350391;1.350391;1.514941;Canvas;8_pass;Winder;1.556329;2.942666;2.890955;2.432956;1.581000;2.829000;2.525000;2.573000;Wide
00000000011181837423;2021-09-06;07:43:12;2401994452480;2832;1;Succeeded;11.572706;11.572706;1.315043;Paper;8_pass_pinCure;Winder;12.439900;16.591868;21.213498;10.940626;12.638000;15.951000;18.529000;11.570000;Wide
00000000011181838833;2021-09-06;07:43:15;2401997029758;2832;2;Failed;1.472142;0.000001;1.315043;Paper;8_pass_pinCure;Winder;0.000000;0.000000;0.000000;0.000001;0.000000;0.000000;0.000000;0.000000;Wide
00000000011182622163;2021-09-06;07:52:32;2402554067060;2833;1;Succeeded;1.472142;1.472142;1.315043;Paper;8_pass_pinCure;Winder;1.399418;1.854938;2.761366;1.523602;1.421000;1.783000;2.412000;1.611000;Wide
00000000011193068660;2021-09-06;10:15:16;2411118129734;2834;1;Succeeded;25.398010;25.398009;1.514941;Canvas;8_pass;Winder;38.585148;38.185348;54.176218;51.153452;39.202000;36.711000;47.322000;54.099000;Wide
00000000011200664748;2021-09-06;11:57:29;2417251206512;2835;1;Succeeded;18.554700;18.554699;1.490006;Canvas;8_pass;Winder;23.874592;26.607987;39.890042;31.901048;24.256000;25.580000;34.843000;33.738000;Wide
00000000011200993216;2021-09-06;12:09:00;2417941454561;2836;1;Succeeded;0.572135;0.572135;1.490006;Canvas;8_pass;Winder;0.255413;0.206175;1.003352;0.501410;0.259000;0.198000;0.876000;0.530000;Wide
00000000011220512712;2021-09-06;16:03:13;2431994714624;2837;1;Succeeded;47.447412;47.447409;1.490006;Canvas;8_pass;Winder;78.384455;88.165728;127.156083;113.587091;79.638000;84.762000;111.070000;121.072000;Wide
00000000011241487506;2021-09-07;08:59:09;2492949325454;2838;1;Succeeded;44.825666;44.825664;1.490006;Canvas;8_pass;Winder;77.246311;84.947983;114.965726;90.219643;78.482000;86.706000;100.422000;96.165000;Wide
00000000011246251302;2021-09-07;10:16:17;2497577426360;2839;1;Succeeded;8.983684;8.983684;1.275024;Paper;8_pass_pinCure;Winder;13.066476;14.748153;15.580717;11.208667;13.275000;15.053000;13.609000;11.947000;Wide
00000000011247981013;2021-09-07;10:41:46;2499106215176;2840;1;Succeeded;3.210941;3.210941;1.004993;Paper;8_pass_pinCure;Winder;6.275240;6.573499;3.713440;6.803712;6.375000;6.709000;3.243000;7.252000;Wide
00000000011256073025;2021-09-07;12:28:49;2505529636713;2841;1;Succeeded;19.399800;19.399799;1.490006;Canvas;8_pass;Winder;33.366688;38.978915;52.111654;49.282270;33.900000;39.785000;45.519000;52.529000;Wide
00000000011260371132;2021-09-08;06:31:53;2570512052862;2845;1;Cancelled;3.922310;2.569802;1.275024;Paper;8_pass_pinCure;Winder;4.789025;4.900633;4.458328;4.328572;4.865000;5.002000;3.894000;4.613000;Wide
00000000011260371138;2021-09-08;06:31:53;2570512052979;2845;2;Cancelled;1.452160;0.000000;1.275024;Paper;8_pass_pinCure;Winder;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wide
00000000011261226699;2021-09-08;06:53:22;2571801031957;2853;1;Cancelled;3.922310;0.559054;1.275024;Paper;8_pass_pinCure;Winder;0.874393;0.717586;0.466809;0.369818;0.888000;0.732000;0.407000;0.394000;Wide
00000000011261226705;2021-09-08;06:53:22;2571801032042;2853;2;Cancelled;1.452160;0.000000;1.275024;Paper;8_pass_pinCure;Winder;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wide
00000000011265023329;2021-09-08;08:01:58;2575916499697;2859;1;Succeeded;3.922310;3.922310;1.275024;Paper;8_pass_pinCure;Winder;6.524807;8.958060;10.512305;6.723902;6.629000;9.143000;9.182000;7.167000;Wide
00000000011265628143;2021-09-08;08:08:44;2576322499309;2859;2;Succeeded;1.452160;1.452160;1.275024;Paper;8_pass_pinCure;Winder;2.729958;3.569975;1.943466;2.258523;2.773000;3.643000;1.697000;2.407000;Wide
00000000011269997362;2021-09-08;09:08:46;2579924458027;2860;1;Succeeded;10.750592;10.750592;1.490006;Canvas;8_pass;Winder;18.663338;15.468655;22.027457;17.388067;18.961000;15.788000;19.240000;18.533000;Wide
00000000011287784871;2021-09-08;13:14:34;2594673038146;2861;1;Succeeded;41.865846;41.865844;1.490006;Canvas;8_pass;Winder;63.703569;70.869053;95.132674;81.636976;64.722000;72.336000;83.098000;87.016000;Wide
00000000011288452442;2021-09-08;13:26:11;2595369376196;2862;1;Succeeded;1.432179;1.432179;1.490006;Canvas;8_pass;Winder;1.162663;1.132564;1.468394;1.904669;1.181000;1.156000;1.282000;2.030000;Wide
00000000011289119810;2021-09-08;14:45:11;2600109582513;2863;1;Succeeded;0.622131;0.622131;1.490006;Canvas;8_pass;Winder;1.385149;1.370823;1.858381;2.038442;1.407000;1.399000;1.623000;2.172000;Wide
00000000011294995316;2021-09-09;06:38:49;2657326552057;2867;1;Succeeded;6.683460;6.683460;1.275024;Paper;8_pass_pinCure;Winder;17.852871;17.988337;18.496049;27.846089;18.138000;18.360000;17.482000;29.681000;Wide
00000000011295409725;2021-09-09;06:48:56;2657933871095;2868;1;Succeeded;0.660739;0.660739;1.275024;Paper;8_pass_pinCure;Winder;0.287012;0.250849;0.229995;0.249568;0.291000;0.256000;0.217000;0.266000;Wide
00000000011300795591;2021-09-09;08:28:22;2663899029624;2869;1;Succeeded;24.567473;24.567466;1.064980;Heavy Banner;4_pass;Winder;2.899522;6.922276;3.517677;12.642289;2.945000;7.065000;3.324000;13.475000;Wide
00000000011310854051;2021-09-09;10:25:25;2670922432635;2870;1;Succeeded;47.131901;47.131899;1.064980;Heavy Banner;4_pass;Winder;5.486288;12.804738;6.404692;24.515407;5.574000;13.069000;6.053000;26.130000;Wide
00000000011311111161;2021-09-09;11:20:09;2674206341412;2871;1;Failed;45.804582;0.000000;1.064980;Heavy Banner;4_pass;Winder;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wide
00000000011320768169;2021-09-09;12:55:22;2679919266937;2872;1;Succeeded;45.804582;45.804564;1.064980;Heavy Banner;4_pass;Winder;4.382804;12.066592;6.228011;21.273933;4.452000;12.316000;5.886000;22.675000;Wide
00000000011325437700;2021-09-09;13:51:51;2683308034556;2873;1;Failed;27.222111;22.175355;1.064980;Heavy Banner;4_pass;Winder;2.153788;5.058507;2.557319;10.722686;2.188000;5.163000;2.417000;11.429000;Wide
00000000011325805727;2021-09-09;14:02:41;2683957715120;2874;1;Succeeded;1.339384;1.339384;1.064980;Heavy Banner;4_pass;Winder;0.201909;0.306692;0.125196;0.823363;0.205000;0.313000;0.118000;0.877000;Wide
00000000011344748694;2021-09-09;17:28:22;2696298439867;2875;1;Succeeded;43.816397;43.816395;1.090041;Heavy Banner;8_pass;Winder;4.501081;12.850689;6.389716;22.622761;4.573000;13.116000;6.039000;24.113000;Wide
00000000011345098255;2021-09-09;17:33:26;2696602672509;2876;1;Succeeded;0.675767;0.675767;1.325033;Heavy Banner;8_pass;Winder;0.074756;0.124391;0.099930;0.369019;0.075000;0.126000;0.094000;0.393000;Wide
00000000011352189298;2021-09-10;06:50:22;2744417463787;2880;1;Succeeded;9.834626;9.834626;1.325033;Paper;8_pass_pinCure;Winder;14.223440;19.374811;20.292994;16.989730;14.451000;19.775000;19.180000;18.109000;Wide
00000000011358518673;2021-09-10;08:18:57;2749733140209;2881;1;Failed;17.941840;15.542936;1.514941;Canvas;8_pass;Winder;24.343743;28.664742;33.700421;32.176280;24.733000;29.258000;31.853000;34.296000;Wide
00000000011359778205;2021-09-10;08:45:37;2751332604065;2882;1;Succeeded;2.580344;2.580344;1.514941;Canvas;8_pass;Winder;3.909501;4.601267;6.566414;6.091927;3.972000;4.696000;6.206000;6.493000;Wide
00000000011359909993;2021-09-10;08:48:09;2751484602492;2882;2;Succeeded;0.542121;0.542121;1.514941;Canvas;8_pass;Winder;0.200207;0.262256;0.450501;0.387068;0.203000;0.267000;0.425000;0.412000;Wide
