ullid;date;time;LocalTime[us];EngineCycleId#;ImageId#;ImageResult$;ImageLengthAnnounced[m]#;ImageLength[m]#;ImageWidth[m]#;MediaType$;PrintMode$;Destination$;JettedInkCyan[ml]#;JettedInkMagenta[ml]#;JettedInkYellow[ml]#;JettedInkBlack[ml]#;AccountedInkCyan[ml]#;AccountedInkMagenta[ml]#;AccountedInkYellow[ml]#;AccountedInkBlack[ml]#;PaperStepMarker$
00000000010924224312;2021-08-27;05:45:56;1530974316035;2754;1;Failed;32.964416;0.000000;1.514941;Canvas;8_pass;Winder;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wide
00000000010938423722;2021-08-27;08:27:27;1540665390778;2755;1;Succeeded;32.964416;32.964415;1.514941;Canvas;8_pass;Winder;49.852517;51.286756;93.894124;67.246825;48.197000;49.307000;79.810000;76.735000;Wide
00000000010938969754;2021-08-27;08:46:48;1541826851276;2756;1;Cancelled;8.636635;0.784860;1.315043;Paper;8_pass_pinCure;Winder;0.682071;0.271188;0.461810;0.269922;0.659000;0.260000;0.392000;0.308000;Wide
00000000010942573044;2021-08-27;09:37:42;1544880024956;2764;1;Failed;8.636635;6.365028;1.315043;Paper;8_pass_pinCure;Winder;7.372642;6.301996;8.775284;5.067182;7.127000;6.058000;7.458000;5.782000;Wide
00000000010944263737;2021-08-27;10:39:52;1548610277120;2765;1;Succeeded;2.764282;2.764282;1.315043;Paper;8_pass_pinCure;Winder;1.668955;0.848762;0.270746;0.768938;1.613000;0.816000;0.230000;0.877000;Wide
00000000010949254153;2021-08-27;12:24:37;1554895034042;2766;1;Succeeded;11.045656;11.045656;1.514941;Canvas;8_pass;Winder;14.553110;17.465810;24.348842;21.428055;14.069000;16.791000;20.696000;24.451000;Wide
00000000010949331904;2021-08-27;12:26:27;1555005033978;2766;2;Succeeded;0.392134;0.392134;1.514941;Canvas;8_pass;Winder;0.586339;0.627512;0.340739;0.680663;0.566000;0.603000;0.289000;0.776000;Wide
00000000010949935074;2021-08-27;12:42:00;1555938181694;2767;1;Succeeded;0.903139;0.903139;1.315043;Paper;8_pass_pinCure;Winder;0.058381;0.055648;0.051805;0.241723;0.056000;0.053000;0.044000;0.275000;Wide
00000000010970301379;2021-08-30;07:50:31;1797644769749;2768;1;Succeeded;25.512607;25.512607;1.514941;Canvas;8_pass;Winder;41.534121;40.323388;53.758720;52.356476;40.155000;38.766000;45.694000;55.372000;Wide
00000000010970564438;2021-08-30;07:53:20;1797813768894;2768;2;Succeeded;0.602107;0.602107;1.514941;Canvas;8_pass;Winder;0.156576;0.251430;0.742499;0.309483;0.151000;0.241000;0.631000;0.327000;Wide
00000000010977671024;2021-08-30;09:09:40;1802393768507;2768;3;Succeeded;16.360140;16.360138;1.514941;Canvas;8_pass;Winder;27.928726;25.208431;37.820358;33.547271;27.001000;24.235000;32.147000;35.479000;Wide
00000000010982182150;2021-08-30;10:17:26;1806459140460;2772;1;Failed;16.544036;8.644594;1.315043;Paper;8_pass_pinCure;Winder;21.810449;24.840400;23.457822;19.735990;21.086000;23.881000;19.939000;20.872000;Wide
00000000010983639365;2021-08-30;10:51:05;1808478077323;2773;1;Failed;8.672534;2.687616;1.315043;Paper;8_pass_pinCure;Winder;0.710457;0.777406;1.318122;0.612761;0.686000;0.747000;1.120000;0.648000;Wide
00000000010983690623;2021-08-30;10:59:59;1809012421331;2774;1;Failed;8.672534;0.000000;1.315043;Paper;8_pass_pinCure;Winder;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wide
00000000010988026679;2021-08-30;11:45:27;1811740354154;2775;1;Succeeded;8.672534;8.672534;1.315043;Paper;8_pass_pinCure;Winder;7.819014;7.612125;7.585994;4.602219;7.559000;7.318000;6.448000;4.867000;Wide
00000000010989065811;2021-08-30;12:01:54;1812727554913;2776;1;Succeeded;1.932220;1.932220;1.082887;Paper;8_pass_pinCure;Winder;2.779264;2.840455;2.848409;2.358619;2.686000;2.730000;2.421000;2.494000;Wide
00000000011009133647;2021-08-30;16:09:01;1827554403484;2777;1;Succeeded;46.925061;46.925058;1.514941;Canvas;8_pass;Winder;72.785433;90.937046;128.302642;109.627711;70.368000;87.426000;109.057000;115.942000;Wide
00000000011009251102;2021-08-30;16:29:13;1828766258859;2778;1;Failed;21.657014;0.000000;1.514941;Canvas;8_pass;Winder;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wide
00000000011018297289;2021-08-30;18:14:54;1835107085588;2779;1;Succeeded;21.657014;21.657013;1.514941;Canvas;8_pass;Winder;31.559455;36.015915;48.313230;44.027996;30.511000;34.625000;41.066000;46.564000;Wide
00000000011030282803;2021-08-31;07:30:01;1882812774959;2780;1;Succeeded;18.733262;18.733262;1.315043;Paper;8_pass_pinCure;Winder;30.200034;36.246748;48.042909;29.243927;29.197000;34.847000;40.836000;30.928000;Wide
00000000011030511173;2021-08-31;07:33:04;1882995775605;2780;2;Succeeded;0.636101;0.636101;1.315043;Paper;8_pass_pinCure;Winder;1.522437;1.389400;1.281259;1.539709;1.471000;1.335000;1.089000;1.628000;Wide
00000000011048895608;2021-08-31;11:40:14;1897825787318;2781;1;Succeeded;42.583735;42.583733;1.514941;Canvas;8_pass;Winder;66.564243;78.423912;105.679147;104.442475;64.354000;75.396000;89.827000;110.458000;Wide
00000000011048963918;2021-08-31;11:51:02;1898473858491;2782;1;Failed;6.073860;0.000000;1.514941;Canvas;8_pass;Winder;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;Wide
00000000011051606505;2021-08-31;12:26:40;1900611614224;2783;1;Succeeded;6.073860;6.073860;1.514941;Canvas;8_pass;Winder;10.203937;13.032729;19.344872;15.047741;9.865000;12.529000;16.443000;15.914000;Wide
00000000011067092972;2021-08-31;15:28:12;1911503372622;2784;1;Succeeded;36.320476;36.320474;1.514941;Canvas;8_pass;Winder;62.240982;61.794819;91.099762;71.347370;60.174000;59.409000;77.434000;75.456000;Wide
00000000011076755637;2021-09-01;07:34:47;1969497500984;2785;1;Succeeded;17.068758;17.068757;1.514941;Canvas;8_pass;Winder;30.662798;29.472053;36.491803;39.763793;29.644000;28.334000;31.018000;42.054000;Wide
