ullid;date;time;LocalTime[us];MediaPrepareId#;Purpose$;EngineCycleId#;Category$;MediaTypeDisplayName$;MediaId$;NominalWidth[0.1mm]#;Measured#;SideEdgeLeft[0.1mm]#;SideEdgeRight[0.1mm]#;WaitingForCleancut#;ManualCut#;ManualLoading#;MediaThickness[um]#;AutomaticMediaJogging#;AdvanceCorrection#;MoistProtection#;PreCurePower#;PostCurePower#;BufferHeaterSetpoint[0.1C]#;CarriageHeightIndex#;ControlPaperStepCorrection#;ControlPaperStepPatternType$;FanFrictionCorrectionTable~;FanFrictionXCoordTable~;PaperStepCorrectionFactor#;PrinterPlatenTemperature[C]#;VacuumSurfaceSettings[0.1%]~;PrintStrategy#;RobustBacklit#;MediaMinimalSwathDuration[ms]#;WindingType$;RollPosition#;PrepareFromDrawer#;InsideRoll#;SmartInkLimit#
00000000001820636594;2020-12-17;23:44:42;1267188205;-1;MediaTransport;-1;Heavy paper > 200gsm;ESP SATIN 170gsm;b51f7a5e-5566-42d9-872e-4604155aa9be;13000;0;-1;-1;0;0;0;210;0;0.000000;0;0;0;320;1;146;Wide;1,;0,;1.000000;24.000000;619,710,771,615,659,;0;0;0;None;0;1;0;1
00000000001820657941;2020-12-17;23:46:53;1398095848;-1;MediaTransport;-1;Heavy paper > 200gsm;ESP SATIN 170gsm;b51f7a5e-5566-42d9-872e-4604155aa9be;13000;1;6508;6500;0;0;0;210;0;0.000000;0;0;0;320;1;0;Wide;1,;0,;1.000000;24.000000;619,710,771,615,659,;0;0;0;None;0;0;0;1
00000000001820657968;2020-12-17;23:46:53;1398096094;-1;MediaTransport;-1;Heavy paper > 200gsm;ESP SATIN 170gsm;b51f7a5e-5566-42d9-872e-4604155aa9be;13000;1;6508;6500;0;0;0;210;0;0.000000;0;0;0;320;1;0;Wide;1,;0,;1.000000;24.000000;619,710,771,615,659,;0;0;0;None;0;0;0;1
00000000001820672906;2020-12-17;23:49:35;1560009336;-1;Print;470;Heavy paper > 200gsm;ESP SATIN 170gsm;b51f7a5e-5566-42d9-872e-4604155aa9be;13000;1;6508;6500;0;0;0;210;0;0.000000;0;0;0;320;1;0;Wide;1,;0,;1.000000;24.000000;619,710,771,615,659,;1;0;0;None;0;0;0;1
00000000001820672931;2020-12-17;23:49:35;1560009592;-1;Print;470;Heavy paper > 200gsm;ESP SATIN 170gsm;b51f7a5e-5566-42d9-872e-4604155aa9be;13000;1;6508;6500;0;0;0;210;0;0.000000;0;0;0;320;1;0;Wide;1,;0,;1.000000;24.000000;619,710,771,615,659,;1;0;0;None;0;0;0;1
00000000001821754802;2020-12-18;00:08:52;2717085963;-1;Print;471;Heavy paper > 200gsm;ESP SATIN 170gsm;b51f7a5e-5566-42d9-872e-4604155aa9be;13000;1;6508;6500;0;0;0;210;0;0.000000;0;0;0;320;1;118;Wide;1,;0,;1.000000;24.000000;619,710,771,615,659,;1;0;0;None;0;0;0;1
00000000001821754830;2020-12-18;00:08:52;2717086266;-1;Print;471;Heavy paper > 200gsm;ESP SATIN 170gsm;b51f7a5e-5566-42d9-872e-4604155aa9be;13000;1;6508;6500;0;0;0;210;0;0.000000;0;0;0;320;1;118;Wide;1,;0,;1.000000;24.000000;619,710,771,615,659,;1;0;0;None;0;0;0;1
00000000001825308098;2020-12-18;00:53:22;5387278766;-1;MediaTransport;-1;Heavy paper > 200gsm;ESP SATIN 170gsm;b51f7a5e-5566-42d9-872e-4604155aa9be;13000;1;6508;6500;0;0;0;210;0;0.000000;0;0;0;320;1;244;Wide;1,;0,;1.000000;24.000000;619,710,771,615,659,;0;0;0;None;0;0;0;1
00000000001825308135;2020-12-18;00:53:22;5387279019;-1;MediaTransport;-1;Heavy paper > 200gsm;ESP SATIN 170gsm;b51f7a5e-5566-42d9-872e-4604155aa9be;13000;1;6508;6500;0;0;0;210;0;0.000000;0;0;0;320;1;244;Wide;1,;0,;1.000000;24.000000;619,710,771,615,659,;0;0;0;None;0;0;0;1
00000000001825324204;2020-12-18;00:54:53;5478450527;-1;MediaTransport;-1;Heavy paper > 200gsm;ESP SATIN 170gsm;b51f7a5e-5566-42d9-872e-4604155aa9be;13000;1;6508;6500;0;0;0;210;0;0.000000;0;0;0;320;1;244;Wide;1,;0,;1.000000;24.000000;619,710,771,615,659,;0;0;0;None;0;1;0;1
00000000001825331891;2020-12-18;00:55:34;5518590002;-1;MediaTransport;-1;Heavy paper > 200gsm;ESP SATIN 170gsm;b51f7a5e-5566-42d9-872e-4604155aa9be;13000;1;6517;6491;0;0;0;210;0;0.000000;0;0;0;320;1;244;Wide;1,;0,;1.000000;24.000000;619,710,771,615,659,;0;0;0;None;0;0;0;1
00000000001825331918;2020-12-18;00:55:34;5518590267;-1;MediaTransport;-1;Heavy paper > 200gsm;ESP SATIN 170gsm;b51f7a5e-5566-42d9-872e-4604155aa9be;13000;1;6517;6491;0;0;0;210;0;0.000000;0;0;0;320;1;244;Wide;1,;0,;1.000000;24.000000;619,710,771,615,659,;0;0;0;None;0;0;0;1
00000000001825348712;2020-12-18;00:58:46;5710727012;-1;Print;472;Heavy paper > 200gsm;ESP SATIN 170gsm;b51f7a5e-5566-42d9-872e-4604155aa9be;13000;1;6517;6491;0;0;0;210;0;0.000000;0;0;0;320;1;244;Wide;1,;0,;1.000000;24.000000;619,710,771,615,659,;1;0;0;None;0;0;0;1
00000000001825348737;2020-12-18;00:58:46;5710727262;-1;Print;472;Heavy paper > 200gsm;ESP SATIN 170gsm;b51f7a5e-5566-42d9-872e-4604155aa9be;13000;1;6517;6491;0;0;0;210;0;0.000000;0;0;0;320;1;244;Wide;1,;0,;1.000000;24.000000;619,710,771,615,659,;1;0;0;None;0;0;0;1
00000000001827766126;2020-12-18;01:34:41;7865784602;-1;Print;473;Heavy paper > 200gsm;ESP SATIN 170gsm;b51f7a5e-5566-42d9-872e-4604155aa9be;13000;1;6517;6491;0;0;0;210;0;0.000000;0;0;0;320;1;168;Wide;1,;0,;1.000000;24.000000;619,710,771,615,659,;1;0;0;None;0;0;0;1
00000000001827766151;2020-12-18;01:34:41;7865784854;-1;Print;473;Heavy paper > 200gsm;ESP SATIN 170gsm;b51f7a5e-5566-42d9-872e-4604155aa9be;13000;1;6517;6491;0;0;0;210;0;0.000000;0;0;0;320;1;168;Wide;1,;0,;1.000000;24.000000;619,710,771,615,659,;1;0;0;None;0;0;0;1
00000000001830387008;2020-12-18;02:11:46;10090500436;-1;Print;474;Heavy paper > 200gsm;ESP SATIN 170gsm;b51f7a5e-5566-42d9-872e-4604155aa9be;13000;1;6517;6491;0;0;0;210;0;0.000000;0;0;0;320;1;245;Wide;1,;0,;1.000000;24.000000;619,710,771,615,659,;1;0;0;None;0;0;0;1
