ullid;date;time;LocalTime[us];MediaPrepareId#;Purpose$;EngineCycleId#;Category$;MediaTypeDisplayName$;MediaId$;NominalWidth[0.1mm]#;Measured#;SideEdgeLeft[0.1mm]#;SideEdgeRight[0.1mm]#;WaitingForCleancut#;ManualCut#;ManualLoading#;MediaThickness[um]#;AutomaticMediaJogging#;AdvanceCorrection#;MoistProtection#;PreCurePower#;PostCurePower#;BufferHeaterSetpoint[0.1C]#;CarriageHeightIndex#;ControlPaperStepCorrection#;ControlPaperStepPatternType$;FanFrictionCorrectionTable~;FanFrictionXCoordTable~;PaperStepCorrectionFactor#;PrinterPlatenTemperature[C]#;VacuumSurfaceSettings[0.1%]~;PrintStrategy#;RobustBacklit#;MediaMinimalSwathDuration[ms]#;WindingType$;RollPosition#;PrepareFromDrawer#;InsideRoll#;SmartInkLimit#
00000000004400474710;2021-02-08;07:52:41;424436240;-1;Print;1018;Paper;Matt Paper;265c5c4e-969d-446d-9f6b-101c95ef4564;13700;0;-1;-1;0;0;0;128;0;0.000000;0;0;0;320;0;30;Wide;1,;0,;1.000000;24.000000;511,562,582,350,363,;3;0;0;Unlocked;0;1;0;1
00000000004404774927;2021-02-08;08:38:34;3177218422;-1;MediaTransport;-1;Paper;Matt Paper;265c5c4e-969d-446d-9f6b-101c95ef4564;13700;1;6847;6858;0;0;0;128;0;0.000000;0;0;0;320;0;38;Wide;1,;0,;1.000000;24.000000;511,562,582,350,363,;0;0;0;Unlocked;0;0;0;1
00000000004404774954;2021-02-08;08:38:34;3177218681;-1;MediaTransport;-1;Paper;Matt Paper;265c5c4e-969d-446d-9f6b-101c95ef4564;13700;1;6847;6858;0;0;0;128;0;0.000000;0;0;0;320;0;38;Wide;1,;0,;1.000000;24.000000;511,562,582,350,363,;0;0;0;Unlocked;0;0;0;1
00000000004404837048;2021-02-08;08:44:07;3510979686;-1;Calibrate;1019;Paper;Matt Paper;265c5c4e-969d-446d-9f6b-101c95ef4564;13700;0;-1;-1;0;0;0;128;0;0.000000;0;0;0;320;0;38;Wide;1,;0,;1.000000;24.000000;511,562,582,350,363,;0;0;0;Unlocked;0;1;0;1
00000000004404870546;2021-02-08;08:46:47;3670566008;-1;Calibrate;1020;Paper;Matt Paper;265c5c4e-969d-446d-9f6b-101c95ef4564;13700;1;6845;6860;0;0;0;128;0;0.000000;0;0;0;320;0;0;Wide;1,;0,;1.000000;24.000000;511,562,582,350,363,;0;0;0;Unlocked;0;0;0;1
00000000004404870575;2021-02-08;08:46:47;3670566278;-1;Calibrate;1020;Paper;Matt Paper;265c5c4e-969d-446d-9f6b-101c95ef4564;13700;1;6845;6860;0;0;0;128;0;0.000000;0;0;0;320;0;0;Wide;1,;0,;1.000000;24.000000;511,562,582,350,363,;0;0;0;Unlocked;0;0;0;1
00000000004404932632;2021-02-08;08:48:21;3764214227;-1;Calibrate;1021;Paper;Matt Paper;265c5c4e-969d-446d-9f6b-101c95ef4564;13700;1;6845;6860;0;0;0;128;0;0.000000;0;0;0;320;0;0;Wide;1,;0,;1.000000;24.000000;511,562,582,350,363,;0;0;0;Unlocked;0;0;0;1
00000000004404932661;2021-02-08;08:48:21;3764214501;-1;Calibrate;1021;Paper;Matt Paper;265c5c4e-969d-446d-9f6b-101c95ef4564;13700;1;6845;6860;0;0;0;128;0;0.000000;0;0;0;320;0;0;Wide;1,;0,;1.000000;24.000000;511,562,582,350,363,;0;0;0;Unlocked;0;0;0;1
00000000004406398372;2021-02-08;09:23:54;5897593227;-1;Calibrate;1022;Paper;Matt Paper;265c5c4e-969d-446d-9f6b-101c95ef4564;13700;1;6845;6860;0;0;0;160;0;0.000000;0;0;0;320;0;0;Wide;1,;0,;1.000000;24.000000;511,562,582,350,363,;0;0;0;Unlocked;0;0;0;1
00000000004406398401;2021-02-08;09:23:54;5897593503;-1;Calibrate;1022;Paper;Matt Paper;265c5c4e-969d-446d-9f6b-101c95ef4564;13700;1;6845;6860;0;0;0;160;0;0.000000;0;0;0;320;0;0;Wide;1,;0,;1.000000;24.000000;511,562,582,350,363,;0;0;0;Unlocked;0;0;0;1
